Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.1981E-9,0.00000012,0.000000818,1,0,0
5.04572E-9,0.000000624,0.000003446,0.999125874,0,0
5.04881E-9,0.000001129,0.000003448,0.998251748,0,0
5.07674E-9,0.000002651,0.000003467,0.995629371,0,0
2.065E-8,0.00001189,0.000014103,0.987762238,0,0
2.0716E-8,0.000026358,0.000014148,0.981643357,0,0
7.36935E-8,0.000057883,0.000050328,0.977272727,0,0
7.41312E-8,0.000102291,0.000050627,0.972027972,0,0
2.28993E-7,0.000252252,0.000156373,0.956293706,0,0
2.32606E-7,0.000529413,0.000158839,0.945804196,0,0
6.71514E-7,0.001039116,0.000458418,0.93006993,0,0
6.87083E-7,0.002540512,0.000469041,0.910839161,0,0
1.94386E-6,0.005023599,0.00132585,0.895104895,0,0
1.9888E-6,0.010115101,0.001356463,0.872377622,0,0
5.23443E-6,0.025076808,0.003562254,0.846153846,0,0
1.38782E-5,0.050720449,0.009389472,0.823426573,0,0
3.59362E-5,0.10321996,0.023955638,0.804195804,0,0
3.64864E-5,0.20110877,0.024313497,0.780594406,0,0
9.17277E-5,0.307258602,0.058954468,0.763111888,0,0
9.19608E-5,0.408298682,0.059095399,0.753496503,0,0
9.2758E-5,0.500701866,0.059577184,0.744755245,0,0
9.29121E-5,0.602815495,0.059670271,0.73513986,0,0
9.35372E-5,0.705388766,0.06004761,0.725524476,0,0
9.36477E-5,0.752189164,0.060114263,0.721153846,0,0
9.38608E-5,0.808472528,0.060242836,0.715909091,0,0
2.23785E-4,0.900259566,0.132576606,0.70979021,0,0
2.24096E-4,1.012278362,0.132736717,0.70541958,0,0
2.24346E-4,1.101993204,0.132865241,0.701923077,0,0
2.2453E-4,1.214214003,0.132959718,0.697552448,0,0
2.24589E-4,1.304041449,0.132989899,0.694055944,0,0
2.24722E-4,1.416370478,0.133058225,0.689685315,0,0
2.24814E-4,1.506284032,0.133105382,0.686188811,0,0
2.25002E-4,1.753634348,0.133201859,0.676573427,0,0
2.2551E-4,2.001496735,0.133462166,0.666958042,0,0
2.26473E-4,2.250359262,0.133955828,0.657342657,0,0
2.27441E-4,2.52268519,0.134451302,0.646853147,0,0
2.2795E-4,2.750462405,0.134711796,0.638111888,0,0
2.28242E-4,3.001388161,0.134860956,0.628496503,0,0
2.2869E-4,3.252740363,0.135089922,0.618881119,0,0
2.29509E-4,3.504667063,0.135508481,0.609265734,0,0
4.9489E-4,3.784497205,0.252614672,0.59965035,0,0
4.96353E-4,4.032417602,0.253172615,0.59527972,0,0
4.97086E-4,4.280862169,0.253451458,0.590909091,0,0
4.9768E-4,4.529526704,0.25367746,0.586538462,0,0
4.98555E-4,4.778705006,0.254010185,0.582167832,0,0
4.99135E-4,5.028213659,0.254230856,0.577797203,0,0
4.9944E-4,5.277891032,0.254346683,0.573426573,0,0
4.99639E-4,5.527671744,0.254422032,0.569055944,0,0
4.99751E-4,5.777528635,0.254464723,0.564685315,0,0
5.00147E-4,6.027491469,0.254615046,0.560314685,0,0
5.00332E-4,6.277630573,0.254685217,0.555944056,0,0
5.00749E-4,6.527875627,0.254843477,0.551573427,0,0
5.00923E-4,6.778308765,0.254909327,0.547202797,0,0
5.01175E-4,7.078960992,0.255004853,0.541958042,0,0
5.01584E-4,7.279542454,0.255159751,0.538461538,0,0
5.0242E-4,7.530646004,0.255476284,0.534090909,0,0
5.03364E-4,7.782199944,0.25583373,0.52972028,0,0
5.0377E-4,8.033972895,0.255987209,0.52534965,0,0
5.04455E-4,8.286158395,0.256246204,0.520979021,0,0
5.057E-4,8.538711233,0.256716073,0.516608392,0,0
5.07128E-4,8.792148394,0.257254507,0.512237762,0,0
5.09054E-4,9.046279808,0.257979574,0.507867133,0,0
5.10183E-4,9.301125059,0.258403988,0.503496503,0,0
5.11624E-4,9.556614088,0.258944729,0.499125874,0,0
5.12222E-4,9.761406275,0.259169079,0.495629371,0,0
5.12655E-4,10.017646882,0.25933136,0.491258741,0,0
9.17416E-4,10.314498911,0.385210594,0.486888112,0,0
9.20681E-4,10.590684119,0.386052222,0.484265734,0,0
9.20962E-4,10.866921551,0.386124612,0.481643357,0,0
9.20996E-4,11.051118816,0.386133319,0.479895105,0,0
9.21311E-4,11.327473197,0.386214423,0.477272727,0,0
9.21413E-4,11.511749575,0.386240553,0.475524476,0,0
9.2212E-4,11.78830245,0.386422384,0.472902098,0,0
9.22272E-4,12.064964145,0.386461586,0.47027972,0,0
9.22655E-4,12.341726024,0.38656014,0.467657343,0,0
9.2288E-4,12.618554429,0.386617862,0.465034965,0,0
9.22973E-4,12.803141665,0.386641822,0.463286713,0,0
9.23253E-4,13.080083457,0.386713708,0.460664336,0,0
9.23775E-4,13.264810623,0.386847688,0.458916084,0,0
9.24195E-4,13.542011578,0.386955539,0.456293706,0,0
9.24594E-4,13.819346026,0.387057955,0.453671329,0,0
9.25068E-4,14.096862454,0.387179448,0.451048951,0,0
9.25146E-4,14.281886152,0.387199607,0.449300699,0,0
9.25271E-4,14.651974126,0.387231754,0.445804196,0,0
9.2531E-4,14.837032242,0.387241562,0.444055944,0,0
9.25382E-4,15.022102894,0.387260087,0.442307692,0,0
9.25633E-4,15.299758495,0.387324387,0.439685315,0,0
9.26779E-4,15.670435875,0.38761814,0.436188811,0,0
9.26807E-4,15.763116551,0.387625226,0.435314685,0,0
9.27075E-4,16.04123691,0.387693909,0.432692308,0,0
9.27501E-4,16.319430087,0.387802937,0.43006993,0,0
9.27665E-4,16.597697588,0.387844916,0.427447552,0,0
9.27693E-4,16.783233537,0.387852004,0.425699301,0,0
9.28313E-4,17.154507227,0.388010666,0.422202797,0,0
9.28758E-4,17.340253549,0.388124635,0.420454545,0,0
9.29296E-4,17.526083919,0.388262068,0.418706294,0,0
9.29467E-4,17.80490341,0.388305701,0.416083916,0,0
9.29838E-4,18.083821946,0.38840061,0.413461538,0,0
9.30186E-4,18.269847855,0.388489526,0.411713287,0,0
9.30312E-4,18.548936382,0.388521713,0.409090909,0,0
9.30502E-4,18.828061869,0.388570266,0.406468531,0,0
9.30618E-4,19.014174301,0.388599728,0.40472028,0,0
9.30885E-4,19.293411124,0.388667927,0.402097902,0,0
9.31623E-4,19.572840378,0.38885618,0.399475524,0,0
9.3177E-4,19.75918416,0.388893834,0.397727273,0,0
9.31959E-4,20.038741344,0.388941859,0.395104895,0,0
9.3225E-4,20.318379212,0.389016084,0.392482517,0,0
9.32567E-4,20.504890378,0.389096865,0.390734266,0,0
9.33038E-4,20.78473809,0.389216955,0.388111888,0,0
9.33578E-4,21.064735144,0.389354529,0.38548951,0,0
9.33857E-4,21.251495097,0.389425505,0.383741259,0,0
9.33962E-4,21.531679737,0.38945226,0.381118881,0,0
9.34243E-4,21.811911779,0.389523789,0.378496503,0.166666667,0
9.34483E-4,22.092237143,0.389584948,0.375874126,0.166666667,0
9.34616E-4,22.279159273,0.389618806,0.374125874,0.166666667,0
9.34805E-4,22.559581425,0.389666864,0.371503497,0.166666667,0
9.34953E-4,22.840060892,0.389704548,0.368881119,0.166666667,0
9.3499E-4,23.027055148,0.389713832,0.367132867,0.166666667,0
9.36182E-4,23.401419577,0.390016985,0.363636364,0.166666667,0
9.37182E-4,23.588785211,0.390271043,0.361888112,0.166666667,0
9.37268E-4,23.776230229,0.390292901,0.36013986,0.166666667,0
9.38013E-4,24.057547593,0.390481984,0.357517483,0.166666667,0
9.3866E-4,24.339052575,0.390645956,0.354895105,0.166666667,0
9.39859E-4,24.526940616,0.390949917,0.353146853,0.166666667,0
9.40545E-4,24.809019769,0.391123802,0.350524476,0.166666667,0
9.43942E-4,25.091856177,0.391982701,0.347902098,0.166666667,0
9.45274E-4,25.280905129,0.392318783,0.346153846,0.166666667,0
9.4973E-4,25.565411582,0.393440524,0.343531469,0.166666667,0
9.50561E-4,25.755466009,0.393649332,0.341783217,0.166666667,0
9.51212E-4,26.040752294,0.393812679,0.339160839,0.166666667,0
9.51815E-4,26.326215947,0.393963987,0.336538462,0.166666667,0
9.53E-4,26.516758045,0.394261181,0.33479021,0.166666667,0
9.5353E-4,26.898123889,0.394393902,0.331293706,0.166666667,0
9.54316E-4,27.088960673,0.394590818,0.329545455,0.166666667,0
9.54797E-4,27.279905508,0.394710959,0.327797203,0.166666667,0
9.69887E-4,27.568266504,0.398463596,0.325174825,0.166666667,0
1.44769E-3,28.001971369,0.497168271,0.322552448,0.166666667,0
1.44783E-3,28.291533044,0.497193528,0.320804196,0.166666667,0
1.44829E-3,28.581163214,0.4972716,0.319055944,0.166666667,0
1.44889E-3,28.870923437,0.49737608,0.317307692,0.166666667,0
1.44973E-3,29.015896896,0.497521316,0.316433566,0.166666667,0
1.44996E-3,29.305871448,0.497560352,0.314685315,0.166666667,0
1.45053E-3,29.595940238,0.497657943,0.312937063,0.166666667,0
1.45078E-3,30.031128688,0.497702146,0.310314685,0.166666667,0
1.45098E-3,30.321323393,0.497736589,0.308566434,0.166666667,0
1.45114E-3,30.61153709,0.497763571,0.306818182,0.166666667,0
1.45118E-3,30.756654769,0.497769886,0.305944056,0.166666667,0
1.45125E-3,31.046897789,0.497783088,0.304195804,0.166666667,0
1.45145E-3,31.337168138,0.497816959,0.302447552,0.166666667,0
1.45214E-3,31.627592166,0.49793579,0.300699301,0.166666667,0
1.45224E-3,31.772815851,0.497952438,0.299825175,0.166666667,0
1.45299E-3,32.063410991,0.498081604,0.298076923,0.166666667,0
1.45314E-3,32.354026816,0.498108011,0.296328671,0.166666667,0
1.45317E-3,32.644660994,0.498113751,0.29458042,0.166666667,0
1.45329E-3,32.789990096,0.498133843,0.293706294,0.166666667,0
1.45351E-3,33.080680339,0.498171156,0.291958042,0.166666667,0
1.4536E-3,33.371399621,0.498187805,0.29020979,0.166666667,0
1.45366E-3,33.516765771,0.498197564,0.289335664,0.166666667,0
1.45387E-3,33.807529784,0.498232583,0.287587413,0.166666667,0
1.45436E-3,34.098383281,0.498316971,0.285839161,0.166666667,0
1.45458E-3,34.389276854,0.498355433,0.284090909,0.166666667,0
1.45477E-3,34.534753535,0.498387582,0.283216783,0.166666667,0
1.45492E-3,34.825724603,0.498413989,0.281468531,0.166666667,0
1.45555E-3,35.116800926,0.498521338,0.27972028,0.166666667,0
1.45556E-3,35.262356466,0.498523061,0.278846154,0.166666667,0
1.45631E-3,35.553577869,0.498652801,0.277097902,0.166666667,0
1.45677E-3,35.844906287,0.498730875,0.27534965,0.166666667,0
1.45747E-3,36.136362174,0.498851429,0.273601399,0.166666667,0
1.45777E-3,36.282139148,0.498903096,0.272727273,0.166666667,0
1.45785E-3,36.719493506,0.498916875,0.270104895,0.166666667,0
1.45789E-3,36.865282198,0.49892319,0.269230769,0.166666667,0
1.45798E-3,37.011080598,0.498939837,0.268356643,0.166666667,0
1.45829E-3,37.302721595,0.498991503,0.266608392,0.166666667,0
1.45848E-3,37.594399427,0.4990248,0.26486014,0.333333333,0
1.45867E-3,37.88611477,0.499058095,0.263111888,0.333333333,0
1.45881E-3,38.031996223,0.499082207,0.262237762,0.333333333,0
1.45908E-3,38.323808043,0.499127558,0.26048951,0.333333333,0
1.45934E-3,38.761571006,0.49917291,0.257867133,0.333333333,0
