Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.18729E-8,0.000001187,0.000012893,1,0,0
1.29532E-8,0.00000375,0.000014066,0.999801094,0,0
1.43479E-8,0.000010774,0.000015581,0.999303829,0,0
1.75631E-8,0.000025198,0.000019072,0.998408752,0,0
2.26209E-8,0.000051901,0.000024564,0.997115863,0,0
2.68836E-8,0.000101903,0.000029193,0.995126803,0,0
3.4033E-8,0.000250435,0.000036957,0.990353058,0,0
4.05866E-8,0.000501716,0.000044073,0.983590254,0,0
5.17587E-8,0.001004209,0.000056204,0.972749876,0,0
6.9081E-8,0.002500127,0.000075012,0.948582795,0,0
8.89067E-8,0.005000447,0.000096538,0.91735455,0,0
1.17861E-7,0.010009251,0.000127973,0.868920935,0,0
1.70983E-7,0.025007939,0.000185643,0.766484336,0,0
2.52601E-7,0.050025157,0.000274234,0.646544008,0,0
5.00535E-7,0.100033137,0.000543257,0.50909995,0,0
1.20925E-6,0.200061645,0.001311452,0.377225261,0,0
2.19783E-6,0.300061527,0.002381035,0.318050721,0,0
3.08601E-6,0.400302425,0.003340032,0.280159125,0,0
4.25724E-6,0.500292577,0.004601836,0.252312282,0,0
5.92715E-6,0.60053113,0.006395383,0.232322228,0,0
7.85274E-6,0.700085803,0.008455514,0.217802089,0,0
9.40997E-6,0.750626874,0.010115319,0.211934361,0,0
1.1135E-5,0.800929689,0.011947503,0.207061164,0,0
1.54917E-5,0.900319538,0.016544793,0.199701641,0,0
1.80717E-5,1.000051945,0.019247098,0.193833913,0,0
2.09418E-5,1.100768925,0.022235918,0.188662357,0,0
2.3605E-5,1.201411057,0.024993038,0.184186972,0,0
2.62491E-5,1.301845596,0.027714992,0.180208851,0,0
2.79898E-5,1.401961111,0.029498682,0.17652909,0,0
3.06886E-5,1.502102937,0.032251236,0.173147688,0,0
3.71871E-5,1.750164029,0.038815583,0.165887618,0,0
4.24689E-5,2.001025452,0.044085586,0.159622079,0,0
4.72636E-5,2.251500239,0.048819798,0.15405271,0,0
5.41209E-5,2.504618767,0.055509711,0.14908006,0,0
6.02544E-5,2.750968511,0.061414293,0.14480358,0,0
6.4636E-5,3.006399449,0.0655873,0.140726007,0,0
7.17309E-5,3.256864346,0.072266369,0.137046246,0,0
7.78059E-5,3.503466332,0.077909902,0.133764296,0.017857143,0
8.6332E-5,3.754770583,0.085715596,0.130681253,0.017857143,0
9.15573E-5,4.004844461,0.090434407,0.127896569,0.017857143,0
9.8648E-5,4.25889429,0.096760469,0.125211338,0.017857143,0
1.02973E-4,4.501280535,0.100576128,0.122824465,0.035714286,0
1.09875E-4,4.758462798,0.10659844,0.120437593,0.035714286,0
1.13201E-4,5.004421866,0.109472392,0.118249627,0.035714286,0
1.22439E-4,5.261993637,0.117357808,0.116061661,0.035714286,0
1.27861E-4,5.500800136,0.121921282,0.114172054,0.035714286,0
1.3121E-4,5.759818363,0.124715769,0.112182994,0.035714286,0
1.38161E-4,6.001942062,0.130460734,0.110392839,0.035714286,0
1.41617E-4,6.253435113,0.133289196,0.108602685,0.035714286,0
1.47758E-4,6.500094011,0.138270411,0.106911984,0.035714286,0
1.52983E-4,6.755551701,0.142463381,0.105221283,0.053571429,0.055555556
1.61653E-4,7.006951413,0.149331427,0.103630035,0.053571429,0.055555556
1.68979E-4,7.255811043,0.155049845,0.10213824,0.053571429,0.055555556
1.75564E-4,7.514399699,0.160124107,0.100646445,0.053571429,0.055555556
1.83001E-4,7.765681582,0.165782547,0.099254102,0.053571429,0.055555556
1.91162E-4,8.009330005,0.171905203,0.097961213,0.071428571,0.055555556
1.99043E-4,8.262839423,0.177732607,0.096668324,0.071428571,0.055555556
2.08501E-4,8.507246593,0.184618506,0.095474888,0.089285714,0.111111111
2.16223E-4,8.762332745,0.190155703,0.094281452,0.089285714,0.111111111
2.20521E-4,9.00273307,0.193205238,0.093187469,0.089285714,0.111111111
2.26714E-4,9.270913104,0.197559509,0.091994033,0.089285714,0.111111111
2.33159E-4,9.501295031,0.202041053,0.090999503,0.089285714,0.111111111
2.4151E-4,9.763025018,0.207773956,0.08990552,0.089285714,0.111111111
2.49049E-4,10.00863022,0.2128789,0.08891099,0.089285714,0.111111111
2.5441E-4,10.260984721,0.216469382,0.087916459,0.089285714,0.111111111
2.62273E-4,10.519249407,0.221677044,0.086921929,0.089285714,0.111111111
2.68163E-4,10.758473292,0.225532031,0.086026852,0.089285714,0.111111111
2.74016E-4,11.002923723,0.229326112,0.085131775,0.089285714,0.111111111
2.8564E-4,11.255355918,0.236751021,0.084236698,0.089285714,0.111111111
2.93683E-4,11.516262221,0.241805566,0.083341621,0.089285714,0.111111111
3.00263E-4,11.754194344,0.245890879,0.082545997,0.089285714,0.111111111
3.0687E-4,12.027214077,0.249949129,0.08165092,0.089285714,0.111111111
3.16324E-4,12.277420581,0.255680989,0.080855296,0.089285714,0.111111111
3.19996E-4,12.500733906,0.257883336,0.080159125,0.089285714,0.111111111
3.25615E-4,12.759397874,0.261228922,0.079363501,0.089285714,0.111111111
3.38313E-4,13.026725426,0.268678697,0.078567877,0.089285714,0.111111111
3.43821E-4,13.26560508,0.271864129,0.077871706,0.089285714,0.111111111
3.49005E-4,13.508867688,0.274836404,0.077175535,0.089285714,0.111111111
3.56003E-4,13.755770957,0.278810669,0.076479364,0.089285714,0.111111111
3.60063E-4,14.006820845,0.281096705,0.075783192,0.089285714,0.111111111
3.72799E-4,14.264250922,0.288174002,0.075087021,0.089285714,0.111111111
3.76491E-4,14.52634176,0.290199942,0.07439085,0.089285714,0.111111111
3.89526E-4,14.756173974,0.297260881,0.073794132,0.107142857,0.111111111
3.97656E-4,15.032380912,0.301593832,0.073097961,0.107142857,0.111111111
4.05471E-4,15.273484363,0.305709103,0.072501243,0.107142857,0.111111111
4.14261E-4,15.519466463,0.310279821,0.071904525,0.107142857,0.111111111
4.25523E-4,15.770563853,0.316048935,0.071307807,0.107142857,0.111111111
4.34396E-4,16.02931725,0.320526805,0.070711089,0.107142857,0.111111111
4.39266E-4,16.291389745,0.322960072,0.070114371,0.107142857,0.111111111
4.43537E-4,16.512117526,0.325079172,0.069617106,0.107142857,0.111111111
4.4922E-4,16.780263525,0.327878733,0.069020388,0.107142857,0.111111111
4.57705E-4,17.007089341,0.332015523,0.068523123,0.107142857,0.166666667
4.64804E-4,17.283589983,0.335437901,0.067926405,0.107142857,0.166666667
4.75587E-4,17.518361811,0.340569654,0.06742914,0.107142857,0.166666667
4.87114E-4,17.758556393,0.345968262,0.066931875,0.107142857,0.166666667
4.95233E-4,18.004549442,0.349717877,0.06643461,0.107142857,0.166666667
5.01503E-4,18.254761052,0.35258453,0.065937345,0.107142857,0.166666667
5.07165E-4,18.50716413,0.355151477,0.06544008,0.107142857,0.222222222
5.10463E-4,18.76173047,0.356637396,0.064942815,0.107142857,0.222222222
5.13905E-4,19.018208945,0.358180882,0.064445549,0.107142857,0.222222222
5.1774E-4,19.276386254,0.359891679,0.063948284,0.107142857,0.222222222
5.25544E-4,19.536549995,0.363345295,0.063451019,0.107142857,0.222222222
5.31807E-4,19.800785348,0.366090143,0.062953754,0.125,0.222222222
5.35554E-4,20.014137559,0.367721051,0.062555942,0.142857143,0.222222222
5.42768E-4,20.283981487,0.370837724,0.062058677,0.142857143,0.277777778
5.48701E-4,20.502793396,0.373377502,0.061660865,0.142857143,0.277777778
5.56489E-4,20.77988186,0.376680994,0.0611636,0.142857143,0.277777778
5.68254E-4,21.005990383,0.381605619,0.060765788,0.142857143,0.277777778
5.74173E-4,21.291292945,0.384053682,0.060268523,0.142857143,0.277777778
5.84625E-4,21.523090408,0.388330006,0.059870711,0.142857143,0.277777778
5.94672E-4,21.758683496,0.392385334,0.059472899,0.142857143,0.277777778
6.00391E-4,22.057378591,0.394669228,0.058975634,0.142857143,0.277777778
6.1683E-4,22.301058363,0.401140773,0.058577822,0.142857143,0.277777778
6.19954E-4,22.548450836,0.402354952,0.05818001,0.142857143,0.277777778
6.26573E-4,22.797817199,0.404911343,0.057782198,0.142857143,0.277777778
6.3165E-4,23.049569826,0.4068574,0.057384386,0.142857143,0.277777778
6.3725E-4,23.303415967,0.408989077,0.056986574,0.142857143,0.277777778
6.45175E-4,23.559854734,0.41198025,0.056588762,0.142857143,0.277777778
