Predictor variable,Categorical,Sample average
alt,false,28.607142857142858
bio01,false,201.75
bio02,false,123.10714285714286
bio03,false,45.232142857142854
bio04,false,5501.160714285715
bio05,false,327.42857142857144
bio06,false,56.660714285714285
bio07,false,270.76785714285717
bio08,false,267.25
bio09,false,162.01785714285714
bio10,false,267.9642857142857
bio11,false,127.80357142857143
bio12,false,1353.5714285714287
bio13,false,186.53571428571428
bio14,false,62.375
bio15,false,36.857142857142854
bio16,false,517.3035714285714
bio17,false,217.03571428571428
bio18,false,509.35714285714283
bio19,false,269.5357142857143
