Predictor variable,Categorical,Sample average
alt,false,29.857142857142858
bio01,false,200.30357142857142
bio03,false,45.339285714285715
bio04,false,5540.517857142857
bio05,false,327.19642857142856
bio06,false,54.089285714285715
bio07,false,273.10714285714283
bio08,false,266.4107142857143
bio09,false,161.66071428571428
bio10,false,267.05357142857144
bio11,false,125.80357142857143
bio13,false,186.39285714285714
bio15,false,37.07142857142857
bio16,false,517.7321428571429
bio18,false,510.19642857142856
