variable,x,y
bio09,-70.5,8.096339297480881E-5
bio09,-69.72,8.096339297480881E-5
bio09,-68.94,8.096339297480881E-5
bio09,-68.16,8.096339297480881E-5
bio09,-67.38,8.096339297480881E-5
bio09,-66.6,8.096339297480881E-5
bio09,-65.82,8.096339297480881E-5
bio09,-65.04,8.096339297480881E-5
bio09,-64.26,8.096339297480881E-5
bio09,-63.480000000000004,8.096339297480881E-5
bio09,-62.7,8.096339297480881E-5
bio09,-61.92,8.096339297480881E-5
bio09,-61.14,8.096339297480881E-5
bio09,-60.36,8.096339297480881E-5
bio09,-59.58,8.096339297480881E-5
bio09,-58.8,8.096339297480881E-5
bio09,-58.019999999999996,8.096339297480881E-5
bio09,-57.24,8.096339297480881E-5
bio09,-56.46,8.096339297480881E-5
bio09,-55.68,8.096339297480881E-5
bio09,-54.9,8.096339297480881E-5
bio09,-54.120000000000005,8.096339297480881E-5
bio09,-53.34,8.096339297480881E-5
bio09,-52.56,8.096339297480881E-5
bio09,-51.78,8.096339297480881E-5
bio09,-51.0,8.096339297480881E-5
bio09,-50.22,8.096339297480881E-5
bio09,-49.44,8.096339297480881E-5
bio09,-48.66,8.096339297480881E-5
bio09,-47.879999999999995,8.096339297480881E-5
bio09,-47.1,8.096339297480881E-5
bio09,-46.32,8.096339297480881E-5
bio09,-45.54,8.096339297480881E-5
bio09,-44.760000000000005,8.096339297480881E-5
bio09,-43.980000000000004,8.096339297480881E-5
bio09,-43.2,8.096339297480881E-5
bio09,-42.42,8.096339297480881E-5
bio09,-41.64,8.096339297480881E-5
bio09,-40.86,8.096339297480881E-5
bio09,-40.08,8.096339297480881E-5
bio09,-39.3,8.096339297480881E-5
bio09,-38.519999999999996,8.096339297480881E-5
bio09,-37.74,8.203031757147983E-5
bio09,-36.96,8.531622006557882E-5
bio09,-36.18,8.873371552908793E-5
bio09,-35.4,9.228809358319268E-5
bio09,-34.62,9.598484757589176E-5
bio09,-33.84,9.982965275412425E-5
bio09,-33.06,1.0382844629930332E-4
bio09,-32.28,1.0798742732731625E-4
bio09,-31.5,1.1231295502511784E-4
bio09,-30.72,1.1681173782562837E-4
bio09,-29.939999999999998,1.2149069516453892E-4
bio09,-29.159999999999997,1.2635704479180276E-4
bio09,-28.380000000000003,1.3141830277163535E-4
bio09,-27.6,1.3668225437868387E-4
bio09,-26.82,1.4215703413356096E-4
bio09,-26.04,1.4785105304326862E-4
bio09,-25.259999999999998,1.5377311501652002E-4
bio09,-24.479999999999997,1.5993235865607858E-4
bio09,-23.700000000000003,1.6633824270684272E-4
bio09,-22.92,1.7300067702308297E-4
bio09,-22.14,1.799299061531201E-4
bio09,-21.36,1.8713662575464696E-4
bio09,-20.58,1.9463193893898278E-4
bio09,-19.799999999999997,2.0242741447873414E-4
bio09,-19.020000000000003,2.1053501404821873E-4
bio09,-18.240000000000002,2.1896729595027864E-4
bio09,-17.46,2.2773724049329758E-4
bio09,-16.68,2.3685830819886178E-4
bio09,-15.899999999999999,2.46344628976658E-4
bio09,-15.119999999999997,2.562107692938298E-4
bio09,-14.340000000000003,2.6647193590179086E-4
bio09,-13.560000000000002,2.771439612843096E-4
bio09,-12.780000000000001,2.882432600017637E-4
bio09,-12.0,2.9978694510646164E-4
bio09,-11.219999999999999,3.117927990388125E-4
bio09,-10.439999999999998,3.2427930273115635E-4
bio09,-9.659999999999997,3.3726569381542504E-4
bio09,-8.880000000000003,3.5077196662314236E-4
bio09,-8.100000000000001,3.648189012892544E-4
bio09,-7.32,3.794281801674515E-4
bio09,-6.539999999999999,3.9462221320718527E-4
bio09,-5.760000000000005,4.1042445809580386E-4
bio09,-4.980000000000004,4.268592456355691E-4
bio09,-4.200000000000003,4.4395180884748697E-4
bio09,-3.4200000000000017,4.6172848669812083E-4
bio09,-2.6400000000000006,4.802166367881E-4
bio09,-1.8599999999999994,4.994447226636112E-4
bio09,-1.0799999999999983,5.194423138163984E-4
bio09,-0.29999999999999716,5.402401438914239E-4
bio09,0.480000000000004,5.618702271021903E-4
bio09,1.2600000000000051,5.843658582307398E-4
bio09,2.0400000000000063,6.077615544199944E-4
bio09,2.819999999999993,6.320933462120593E-4
bio09,3.5999999999999943,6.573986611329019E-4
bio09,4.3799999999999955,6.837163236923516E-4
bio09,5.159999999999997,7.110867882147431E-4
bio09,5.939999999999998,7.395521970465779E-4
bio09,6.719999999999999,7.691561477258801E-4
bio09,7.5,7.99944216851145E-4
bio09,8.280000000000001,8.319636690430343E-4
bio09,9.060000000000002,8.652636897750199E-4
bio09,9.840000000000003,8.998953271657228E-4
bio09,10.620000000000005,9.359117248095572E-4
bio09,11.400000000000006,9.733682381920516E-4
bio09,12.180000000000007,0.0010123223764821887
bio09,12.959999999999994,0.0010528337443247437
bio09,13.739999999999995,0.0010949644492939115
bio09,14.519999999999996,0.0011387793347239494
bio09,15.299999999999997,0.0011843452230095863
bio09,16.08,0.001231732196174562
bio09,16.86,0.0012810127809643745
bio09,17.64,0.0013322621816769242
bio09,18.42,0.0013855593279004097
bio09,19.200000000000003,0.0014409854775294662
bio09,19.980000000000004,0.0014986253809183836
bio09,20.760000000000005,0.0015585673972964287
bio09,21.540000000000006,0.0016209031455218792
bio09,22.319999999999993,0.001685727620497346
bio09,23.099999999999994,0.001753140357322991
bio09,23.879999999999995,0.0018232436850667
bio09,24.659999999999997,0.0018961451714858413
bio09,25.439999999999998,0.0019719558767974377
bio09,26.22,0.0020507911685854197
bio09,27.0,0.002132771536707878
bio09,27.78,0.0022180217783898115
bio09,28.560000000000002,0.002306671580299735
bio09,29.340000000000003,0.0023988562170416117
bio09,30.120000000000005,0.002494715852662921
bio09,30.900000000000006,0.002594395773485303
bio09,31.680000000000007,0.0026980480179190636
bio09,32.459999999999994,0.0028058295138180256
bio09,33.239999999999995,0.0029179046396166086
bio09,34.019999999999996,0.0030344424303621054
bio09,34.8,0.003155619604513049
bio09,35.58,0.0032816207967698574
bio09,36.36,0.003412635065615177
bio09,37.14,0.0035488612484186888
bio09,37.92,0.0036905051674693823
bio09,38.7,0.0038377814926207066
bio09,39.480000000000004,0.0039909109473228455
