Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.17776E-8,0.000001178,0.000011016,1,0,0
1.37796E-8,0.000002556,0.000012888,0.999900557,0,0
1.55704E-8,0.000011387,0.000014563,0.999303898,0,0
1.93979E-8,0.000025943,0.000018143,0.998508353,0,0
2.1382E-8,0.000050775,0.000019998,0.997315036,0,0
2.57118E-8,0.000101627,0.000024048,0.995127287,0,0
3.75894E-8,0.000252311,0.000035156,0.990354018,0,0
4.84421E-8,0.000504069,0.000045306,0.984586317,0,0
5.76428E-8,0.001004877,0.000053911,0.975238663,0,0
8.14704E-8,0.00250078,0.000076194,0.953858393,0,0
1.06651E-7,0.005000011,0.000099741,0.92760541,0,0
1.40288E-7,0.010005562,0.000131195,0.88743039,0,0
2.26025E-7,0.025020789,0.000211358,0.804494829,0,0
3.51634E-7,0.050024968,0.000328778,0.716686555,0,0
5.70538E-7,0.100006067,0.000533344,0.607696897,0,0
1.00939E-6,0.200059256,0.000943198,0.476929196,0,0
1.4251E-6,0.300110375,0.001331128,0.394490851,0,0
1.87798E-6,0.400184219,0.001753409,0.333432776,0,0
2.45167E-6,0.500014273,0.002287813,0.287191726,0,0
3.34991E-6,0.600139272,0.003123407,0.252287192,0,0
4.51456E-6,0.70007616,0.004204747,0.226829753,0,0
5.15969E-6,0.750283764,0.004802715,0.216487669,0,0
5.8625E-6,0.800449447,0.005453332,0.207438345,0,0
7.6833E-6,0.900613057,0.007134969,0.192521877,0,0
1.03984E-5,1.000488118,0.009632044,0.181185362,0,0
1.31841E-5,1.100263085,0.012180975,0.172732697,0,0
1.63862E-5,1.201205274,0.015094809,0.165871122,0,0
2.01465E-5,1.300212885,0.018494676,0.160501193,0,0
2.40577E-5,1.402403708,0.022006129,0.15592681,0,0
2.69863E-5,1.500123479,0.024619086,0.152147971,0,0
3.68849E-5,1.751312302,0.033348258,0.144391408,0,0
4.65141E-5,2.004335571,0.041691194,0.138424821,0,0
5.44423E-5,2.253022672,0.048452959,0.133552108,0,0
6.17595E-5,2.501159154,0.054609552,0.129276054,0,0.055555556
7.06244E-5,2.753967812,0.061962509,0.125497216,0.017857143,0.055555556
7.77728E-5,3.006440721,0.067808892,0.12211615,0.017857143,0.111111111
8.79448E-5,3.253195799,0.076003619,0.119132856,0.017857143,0.111111111
9.45175E-5,3.508785543,0.081222507,0.116348449,0.017857143,0.111111111
1.01903E-4,3.754753785,0.08701711,0.113862371,0.017857143,0.111111111
1.09721E-4,4.008501319,0.093071299,0.111475736,0.017857143,0.111111111
1.16118E-4,4.25657912,0.097966341,0.109287987,0.017857143,0.111111111
1.22594E-4,4.507679884,0.10286775,0.107199682,0.017857143,0.111111111
1.29276E-4,4.76169705,0.107870204,0.105210819,0.017857143,0.111111111
1.34351E-4,5.011703985,0.111631442,0.1033214,0.035714286,0.111111111
1.4154E-4,5.260540658,0.116906415,0.101531424,0.035714286,0.166666667
1.50295E-4,5.508118323,0.123246526,0.099840891,0.035714286,0.166666667
1.57304E-4,5.755002906,0.128256969,0.098249801,0.035714286,0.166666667
1.63884E-4,6.012780552,0.132909042,0.096658711,0.035714286,0.166666667
1.73617E-4,6.250459087,0.139700058,0.095266508,0.035714286,0.166666667
1.86679E-4,6.502684671,0.148647842,0.093874304,0.035714286,0.166666667
1.93511E-4,6.750270286,0.153254489,0.092581543,0.035714286,0.166666667
1.9956E-4,7.006529866,0.157291232,0.091288783,0.035714286,0.166666667
2.07446E-4,7.251865343,0.162497153,0.090095465,0.035714286,0.166666667
2.17176E-4,7.507882395,0.168832146,0.088902148,0.035714286,0.166666667
2.23484E-4,7.75087234,0.172887948,0.087808274,0.035714286,0.166666667
2.31252E-4,8.023105949,0.177828553,0.086614956,0.035714286,0.166666667
2.39015E-4,8.259403917,0.182707819,0.085620525,0.035714286,0.166666667
2.48808E-4,8.502575966,0.188780142,0.084626094,0.035714286,0.166666667
2.56025E-4,8.755805127,0.193198244,0.083631663,0.035714286,0.166666667
2.63245E-4,9.0158153,0.197570075,0.082637232,0.035714286,0.166666667
2.68801E-4,9.25559084,0.200901971,0.081742243,0.035714286,0.166666667
2.75559E-4,9.527410896,0.20491826,0.080747812,0.035714286,0.166666667
2.80229E-4,9.750469355,0.207669895,0.079952267,0.035714286,0.166666667
2.84997E-4,10.004891115,0.210459302,0.079057279,0.035714286,0.166666667
2.95309E-4,10.266717638,0.216426572,0.078162291,0.035714286,0.166666667
3.02575E-4,10.507082801,0.2205769,0.077366746,0.035714286,0.166666667
3.12419E-4,10.754080092,0.226130661,0.076571201,0.035714286,0.166666667
3.1559E-4,11.004820563,0.227902768,0.075775656,0.035714286,0.166666667
3.22612E-4,11.260511736,0.231798072,0.074980111,0.035714286,0.166666667
3.32313E-4,11.52231534,0.237115698,0.074184566,0.035714286,0.222222222
3.3722E-4,11.756499721,0.239777394,0.073488465,0.053571429,0.222222222
3.40846E-4,12.028394719,0.241732266,0.07269292,0.053571429,0.222222222
3.43447E-4,12.268051697,0.243128337,0.071996818,0.053571429,0.222222222
3.4979E-4,12.51092585,0.246511655,0.071300716,0.053571429,0.222222222
3.53036E-4,12.756883363,0.248231436,0.070604614,0.053571429,0.222222222
3.58342E-4,13.006404225,0.251025736,0.069908512,0.071428571,0.222222222
3.63211E-4,13.259196125,0.253571655,0.069212411,0.071428571,0.222222222
3.68489E-4,13.515671536,0.256312136,0.068516309,0.071428571,0.222222222
3.7478E-4,13.77579757,0.259552141,0.067820207,0.071428571,0.222222222
3.81365E-4,14.003075914,0.262913907,0.067223548,0.089285714,0.222222222
3.89276E-4,14.272785494,0.266911841,0.066527446,0.107142857,0.222222222
3.99332E-4,14.511493648,0.271932008,0.065930788,0.107142857,0.222222222
4.04782E-4,14.752687446,0.274624029,0.065334129,0.125,0.277777778
4.13572E-4,15.039636097,0.278924222,0.064638027,0.142857143,0.277777778
4.33314E-4,15.250803523,0.288398917,0.064140811,0.142857143,0.333333333
4.40014E-4,15.512822806,0.291558075,0.063544153,0.142857143,0.388888889
4.50328E-4,15.78000486,0.296366627,0.062947494,0.142857143,0.388888889
4.51547E-4,16.005573712,0.296930496,0.062450278,0.142857143,0.388888889
4.61076E-4,16.280135337,0.301308722,0.06185362,0.142857143,0.388888889
4.66378E-4,16.512770192,0.303721352,0.061356404,0.142857143,0.388888889
4.79593E-4,16.796768916,0.309662355,0.060759745,0.142857143,0.388888889
4.89922E-4,17.039313949,0.314235897,0.06026253,0.142857143,0.388888889
