variable,x,y
bio06,-131.1,8.370367140742019E-5
bio06,-130.4256,8.370367140742019E-5
bio06,-129.75119999999998,8.370367140742019E-5
bio06,-129.0768,8.370367140742019E-5
bio06,-128.4024,8.370367140742019E-5
bio06,-127.728,8.370367140742019E-5
bio06,-127.05359999999999,8.370367140742019E-5
bio06,-126.3792,8.370367140742019E-5
bio06,-125.70479999999999,8.370367140742019E-5
bio06,-125.0304,8.370367140742019E-5
bio06,-124.356,8.370367140742019E-5
bio06,-123.68159999999999,8.370367140742019E-5
bio06,-123.0072,8.370367140742019E-5
bio06,-122.33279999999999,8.370367140742019E-5
bio06,-121.6584,8.370367140742019E-5
bio06,-120.984,8.370367140742019E-5
bio06,-120.30959999999999,8.370367140742019E-5
bio06,-119.6352,8.370367140742019E-5
bio06,-118.96079999999999,8.370367140742019E-5
bio06,-118.28639999999999,8.370367140742019E-5
bio06,-117.612,8.370367140742019E-5
bio06,-116.93759999999999,8.370367140742019E-5
bio06,-116.2632,8.370367140742019E-5
bio06,-115.58879999999999,8.370367140742019E-5
bio06,-114.9144,8.370367140742019E-5
bio06,-114.24,8.370367140742019E-5
bio06,-113.56559999999999,8.370367140742019E-5
bio06,-112.8912,8.370367140742019E-5
bio06,-112.21679999999999,8.370367140742019E-5
bio06,-111.5424,8.370367140742019E-5
bio06,-110.868,8.370367140742019E-5
bio06,-110.1936,8.370367140742019E-5
bio06,-109.5192,8.370367140742019E-5
bio06,-108.84479999999999,8.370367140742019E-5
bio06,-108.1704,8.370367140742019E-5
bio06,-107.496,8.370367140742019E-5
bio06,-106.82159999999999,8.370367140742019E-5
bio06,-106.1472,8.370367140742019E-5
bio06,-105.47279999999999,8.370367140742019E-5
bio06,-104.7984,8.370367140742019E-5
bio06,-104.124,8.370367140742019E-5
bio06,-103.4496,8.370367140742019E-5
bio06,-102.7752,8.497541421093047E-5
bio06,-102.10079999999999,8.890776371117681E-5
bio06,-101.4264,9.302206308348104E-5
bio06,-100.752,9.732673788676038E-5
bio06,-100.07759999999999,1.0183059930568561E-4
bio06,-99.4032,1.0654285870259628E-4
bio06,-98.7288,1.1147315672133118E-4
bio06,-98.05439999999999,1.1663157056318596E-4
bio06,-97.38,1.2202866491861641E-4
bio06,-96.70559999999999,1.2767547741532326E-4
bio06,-96.0312,1.335835549980402E-4
bio06,-95.35679999999999,1.39764990308322E-4
bio06,-94.6824,1.46232356200926E-4
bio06,-94.008,1.529989967821166E-4
bio06,-93.33359999999999,1.600787218194455E-4
bio06,-92.6592,1.6748598136473447E-4
bio06,-91.9848,1.752359385136515E-4
bio06,-91.31039999999999,1.8334444030188024E-4
bio06,-90.636,1.9182806136086583E-4
bio06,-89.96159999999999,2.007041621254757E-4
bio06,-89.2872,2.099908742820844E-4
bio06,-88.6128,2.1970720263198018E-4
bio06,-87.9384,2.2987299598753452E-4
bio06,-87.264,2.4050904903560877E-4
bio06,-86.58959999999999,2.516371023375541E-4
bio06,-85.9152,2.632798859849572E-4
bio06,-85.24080000000001,2.754612360149622E-4
bio06,-84.56639999999999,2.882060070987791E-4
bio06,-83.892,3.015402762684971E-4
bio06,-83.21759999999999,3.154912556055933E-4
bio06,-82.5432,3.300874959677458E-4
bio06,-81.8688,3.453587996773422E-4
bio06,-81.1944,3.6133636604063213E-4
bio06,-80.52,3.7805282045155764E-4
bio06,-79.84559999999999,3.955423308070749E-4
bio06,-79.1712,4.1384040378034115E-4
bio06,-78.49680000000001,4.3298478703945875E-4
bio06,-77.82239999999999,4.530144215095788E-4
bio06,-77.148,4.739701689686626E-4
bio06,-76.47359999999999,4.958948120474815E-4
bio06,-75.7992,5.18833112437278E-4
bio06,-75.1248,5.428318399935961E-4
bio06,-74.4504,5.679400637745857E-4
bio06,-73.776,5.94208890106529E-4
bio06,-73.10159999999999,6.21692044660449E-4
bio06,-72.4272,6.504454649984837E-4
bio06,-71.75280000000001,6.805278244428337E-4
bio06,-71.07839999999999,7.120005320757627E-4
bio06,-70.404,7.449276163242757E-4
bio06,-69.72959999999999,7.793763070367277E-4
bio06,-69.0552,8.154166862368584E-4
bio06,-68.3808,8.531223284080625E-4
bio06,-67.7064,8.92569893039763E-4
bio06,-67.032,9.338397649116814E-4
bio06,-66.3576,9.770160540938377E-4
bio06,-65.6832,0.0010221864795312285
bio06,-65.0088,0.001069443067535758
bio06,-64.3344,0.0011188819771632552
bio06,-63.66,0.0011706033255904913
bio06,-62.985600000000005,0.001224712934345007
bio06,-62.311199999999985,0.0012813204666599631
bio06,-61.636799999999994,0.0013405409408733249
bio06,-60.9624,0.0014024947304278612
bio06,-60.288,0.0014673074474558234
bio06,-59.613600000000005,0.0015351104084402323
bio06,-58.939199999999985,0.0016060417983680964
bio06,-58.264799999999994,0.0016802450409159064
bio06,-57.5904,0.0017578707775101066
bio06,-56.916,0.0018390760524198413
bio06,-56.241600000000005,0.001924025476910174
bio06,-55.567199999999985,0.002012890763580799
bio06,-54.892799999999994,0.002105852123349905
bio06,-54.2184,0.002203097101300955
bio06,-53.544,0.0023048222064971924
bio06,-52.869600000000005,0.002411233028396964
bio06,-52.195199999999986,0.002522543538361788
bio06,-51.520799999999994,0.0026389798149466515
bio06,-50.8464,0.0027607756201177835
bio06,-50.172,0.0028881763573735952
bio06,-49.497600000000006,0.0030214383732527494
bio06,-48.823199999999986,0.0031608296558260918
bio06,-48.148799999999994,0.0033066305331885815
bio06,-47.4744,0.003459133207798004
bio06,-46.8,0.0036186438519507647
bio06,-46.125600000000006,0.0037854821421205997
bio06,-45.451199999999986,0.003959982190281153
bio06,-44.776799999999994,0.004142492078244686
bio06,-44.1024,0.004333376418799162
bio06,-43.428,0.00453301751986146
bio06,-42.753600000000006,0.004741812590509653
bio06,-42.079199999999986,0.0049601770006120205
bio06,-41.404799999999994,0.005188544746488333
bio06,-40.7304,0.005427369382232428
bio06,-40.056,0.005677124485373497
bio06,-39.381600000000006,0.005938303656876087
bio06,-38.707199999999986,0.006211423315107822
bio06,-38.032799999999995,0.006497022695839405
bio06,-37.3584,0.006795664317905903
bio06,-36.684,0.007107934448868036
bio06,-36.009600000000006,0.007434444967657328
bio06,-35.335199999999986,0.007775838486850262
bio06,-34.660799999999995,0.008132780902087688
bio06,-33.9864,0.008505967445671558
bio06,-33.312,0.008896124549210072
bio06,-32.637600000000006,0.009304010309278965
bio06,-31.963199999999986,0.009730413556098938
bio06,-31.288799999999995,0.01017615757882595
bio06,-30.614400000000003,0.010642101056873798
bio06,-29.939999999999998,0.011129139922559261
bio06,-29.265600000000006,0.01163820642977953
bio06,-28.591199999999986,0.012170271947979927
bio06,-27.916799999999995,0.01272634882479906
bio06,-27.242400000000004,0.013307491317391396
