Predictor variable,Categorical,Sample average
alt,false,28.339285714285715
bio01,false,204.125
bio02,false,123.16071428571429
bio03,false,45.785714285714285
bio04,false,5375.892857142857
bio05,false,327.76785714285717
bio06,false,60.32142857142857
bio07,false,267.44642857142856
bio08,false,267.8392857142857
bio09,false,165.5
bio10,false,268.60714285714283
bio11,false,131.76785714285714
bio12,false,1353.9642857142858
bio13,false,188.60714285714286
bio14,false,61.125
bio15,false,38.25
bio16,false,525.0178571428571
bio17,false,213.60714285714286
bio18,false,516.0535714285714
bio19,false,265.35714285714283
triadica_sebifera_neg_avg,false,-0.49899797048419714
