Predictor variable,Categorical,Sample average
alt,false,30.928571428571427
bio01,false,201.58928571428572
bio03,false,45.32142857142857
bio04,false,5488.75
bio05,false,327.55357142857144
bio06,false,56.30357142857143
bio07,false,271.25
bio08,false,267.0892857142857
bio09,false,162.82142857142858
bio10,false,267.64285714285717
bio11,false,127.73214285714286
bio13,false,184.32142857142858
bio15,false,36.767857142857146
bio16,false,512.125
bio18,false,505.4107142857143
triadica_sebifera_neg_avg,false,-0.4902734080928245
