Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.14199E-8,0.000001142,0.000010722,1,0,0
1.30337E-8,0.000003613,0.000012237,0.999801094,0,0
1.82885E-8,0.000010314,0.00001717,0.999403282,0,0
2.07393E-8,0.00002617,0.000019471,0.998607658,0,0
2.20688E-8,0.000051781,0.000020719,0.997414222,0,0
2.50502E-8,0.000100762,0.000023518,0.995325709,0,0
3.3146E-8,0.000251849,0.000031118,0.990253605,0,0
4.13553E-8,0.00050319,0.000038825,0.983590254,0,0
5.57661E-8,0.001003177,0.000052354,0.973446047,0,0
7.17912E-8,0.002503513,0.000067397,0.950273496,0,0
9.38818E-8,0.005007537,0.000088134,0.920238687,0,0
1.24657E-7,0.010002447,0.000117021,0.874788662,0,0
1.93084E-7,0.025004005,0.000181245,0.780407757,0,0
2.90396E-7,0.050024974,0.000272565,0.675783192,0,0
5.15433E-7,0.100044286,0.000483683,0.54679264,0,0
1.00595E-6,0.200008683,0.000943549,0.411337643,0,0
1.50029E-6,0.300070533,0.001406571,0.330979612,0,0
2.18087E-6,0.400211744,0.002043335,0.275982098,0,0
3.20345E-6,0.500009008,0.002998553,0.238289408,0,0
4.75701E-6,0.600027317,0.004446284,0.212630532,0,0
6.9913E-6,0.700036796,0.006521013,0.195226256,0,0
8.24068E-6,0.750133975,0.007677402,0.188662357,0,0
9.37717E-6,0.800255596,0.008726974,0.182993536,0,0
1.20926E-5,0.900959489,0.011225762,0.1735455,0,0
1.56891E-5,1.000142724,0.014515958,0.166384883,0,0
1.86024E-5,1.100112264,0.01716517,0.160616609,0,0
2.23949E-5,1.202163069,0.020592549,0.155643958,0,0
2.62349E-5,1.300813151,0.024038661,0.151566385,0,0
2.98721E-5,1.402054035,0.027280482,0.147986077,0,0
3.28324E-5,1.501703547,0.029903081,0.14480358,0,0
3.93374E-5,1.750510135,0.035616674,0.137941323,0,0.055555556
4.8504E-5,2.003018106,0.043554848,0.132173048,0,0.055555556
5.57474E-5,2.252020673,0.049735587,0.127399304,0,0.111111111
6.35765E-5,2.502903047,0.056327023,0.123222277,0,0.111111111
7.29646E-5,2.755680855,0.064111318,0.119542516,0,0.111111111
8.35888E-5,3.000019089,0.072767188,0.116459473,0,0.111111111
9.01248E-5,3.251277546,0.078013097,0.113575336,0,0.111111111
9.89085E-5,3.506699466,0.084970326,0.110890104,0.017857143,0.111111111
1.07464E-4,3.756646899,0.091646227,0.108503232,0.017857143,0.111111111
1.13664E-4,4.000387043,0.0964242,0.106315266,0.017857143,0.111111111
1.24706E-4,4.261934004,0.104809924,0.1041273,0.017857143,0.111111111
1.32597E-4,4.505989786,0.11070724,0.102237693,0.017857143,0.111111111
1.40037E-4,4.751339462,0.116197281,0.100447539,0.017857143,0.166666667
1.49614E-4,5.012942687,0.123165187,0.098657384,0.017857143,0.166666667
1.56004E-4,5.259085313,0.127753468,0.097066136,0.017857143,0.166666667
1.64258E-4,5.516019656,0.133609847,0.095474888,0.017857143,0.166666667
1.7232E-4,5.75267256,0.139254281,0.094082546,0.017857143,0.222222222
1.82468E-4,6.002267218,0.146255849,0.092690204,0.017857143,0.222222222
1.93891E-4,6.266164476,0.15400182,0.091297862,0.017857143,0.222222222
2.01855E-4,6.503832334,0.159319492,0.090104426,0.035714286,0.222222222
2.08177E-4,6.750938036,0.163493687,0.08891099,0.035714286,0.222222222
2.24258E-4,7.009699933,0.173926332,0.087717553,0.035714286,0.222222222
2.31601E-4,7.262163851,0.178604248,0.08662357,0.053571429,0.222222222
