variable,x,y
bio01,56.1,2.922959902207367E-5
bio01,56.5056,2.922959902207367E-5
bio01,56.9112,2.922959902207367E-5
bio01,57.3168,2.922959902207367E-5
bio01,57.7224,2.922959902207367E-5
bio01,58.128,2.922959902207367E-5
bio01,58.5336,2.922959902207367E-5
bio01,58.9392,2.922959902207367E-5
bio01,59.3448,2.922959902207367E-5
bio01,59.7504,2.922959902207367E-5
bio01,60.156,2.922959902207367E-5
bio01,60.5616,2.922959902207367E-5
bio01,60.9672,2.922959902207367E-5
bio01,61.3728,2.922959902207367E-5
bio01,61.778400000000005,2.922959902207367E-5
bio01,62.184,2.922959902207367E-5
bio01,62.589600000000004,2.922959902207367E-5
bio01,62.995200000000004,2.922959902207367E-5
bio01,63.400800000000004,2.922959902207367E-5
bio01,63.806400000000004,2.922959902207367E-5
bio01,64.212,2.922959902207367E-5
bio01,64.6176,2.922959902207367E-5
bio01,65.0232,2.922959902207367E-5
bio01,65.4288,2.922959902207367E-5
bio01,65.8344,2.922959902207367E-5
bio01,66.24000000000001,2.922959902207367E-5
bio01,66.6456,2.922959902207367E-5
bio01,67.0512,2.922959902207367E-5
bio01,67.4568,2.922959902207367E-5
bio01,67.86240000000001,2.922959902207367E-5
bio01,68.268,2.922959902207367E-5
bio01,68.6736,2.922959902207367E-5
bio01,69.0792,2.922959902207367E-5
bio01,69.4848,2.922959902207367E-5
bio01,69.8904,2.922959902207367E-5
bio01,70.29599999999999,2.922959902207367E-5
bio01,70.7016,2.922959902207367E-5
bio01,71.1072,2.922959902207367E-5
bio01,71.5128,2.922959902207367E-5
bio01,71.9184,2.922959902207367E-5
bio01,72.324,2.922959902207367E-5
bio01,72.7296,2.922959902207367E-5
bio01,73.1352,2.956985917990096E-5
bio01,73.5408,3.061458846786991E-5
bio01,73.9464,3.16962250508368E-5
bio01,74.352,3.281605677329935E-5
bio01,74.7576,3.397546970518306E-5
bio01,75.1632,3.517584627843462E-5
bio01,75.5688,3.641863077064045E-5
bio01,75.9744,3.7705322029069066E-5
bio01,76.38,3.903744800481945E-5
bio01,76.7856,4.041666034027003E-5
bio01,77.1912,4.184459976386279E-5
bio01,77.5968,4.3322983401594684E-5
bio01,78.0024,4.48536011390388E-5
bio01,78.408,4.6438261051662266E-5
bio01,78.81360000000001,4.807893492397852E-5
bio01,79.2192,4.977757271262817E-5
