Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,air2m_1979_02 contribution,air2m_1979_08 contribution,evap_1979_02 contribution,evap_1979_08 contribution,hgt_surface contribution,soill_1979_02 contribution,soill_1979_08 contribution,air2m_1979_02 permutation importance,air2m_1979_08 permutation importance,evap_1979_02 permutation importance,evap_1979_08 permutation importance,hgt_surface permutation importance,soill_1979_02 permutation importance,soill_1979_08 permutation importance,Training gain without air2m_1979_02,Training gain without air2m_1979_08,Training gain without evap_1979_02,Training gain without evap_1979_08,Training gain without hgt_surface,Training gain without soill_1979_02,Training gain without soill_1979_08,Training gain with only air2m_1979_02,Training gain with only air2m_1979_08,Training gain with only evap_1979_02,Training gain with only evap_1979_08,Training gain with only hgt_surface,Training gain with only soill_1979_02,Training gain with only soill_1979_08,Test gain without air2m_1979_02,Test gain without air2m_1979_08,Test gain without evap_1979_02,Test gain without evap_1979_08,Test gain without hgt_surface,Test gain without soill_1979_02,Test gain without soill_1979_08,Test gain with only air2m_1979_02,Test gain with only air2m_1979_08,Test gain with only evap_1979_02,Test gain with only evap_1979_08,Test gain with only hgt_surface,Test gain with only soill_1979_02,Test gain with only soill_1979_08,AUC without air2m_1979_02,AUC without air2m_1979_08,AUC without evap_1979_02,AUC without evap_1979_08,AUC without hgt_surface,AUC without soill_1979_02,AUC without soill_1979_08,AUC with only air2m_1979_02,AUC with only air2m_1979_08,AUC with only evap_1979_02,AUC with only evap_1979_08,AUC with only hgt_surface,AUC with only soill_1979_02,AUC with only soill_1979_08,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
pinpal_0,24,0.6658,1.0472,340,0.8798,7,0.1374,0.6906,0.0689,1144,13.0133,4.7516,7.1324,37.7588,28.8804,8.3910,0.0725,37.9377,15.4621,0.0000,15.9304,19.0961,11.5737,0.0000,0.6240,0.6560,0.6650,0.5231,0.6102,0.5984,0.6651,0.0999,0.1390,0.2161,0.3603,0.3348,0.0851,0.0286,-0.0651,0.0638,0.1397,0.5532,-0.0373,0.0080,0.1318,0.1474,0.2487,0.1728,-0.2345,0.2342,-0.1125,-0.2535,0.6267,0.6723,0.6904,0.7729,0.6545,0.6427,0.6885,0.5993,0.6907,0.6561,0.5052,0.6248,0.4237,0.2991,6.3765,0.2542,1.0000,0.0666,0.6774,0.0000,0.0000,6.548E-2,5.0000,0.1831,0.5315,0.0000,0.1429,8.589E-2,10.0000,0.2686,0.4458,0.0000,0.1429,3.395E-2,13.7938,0.3051,0.3977,0.0000,0.2857,9.407E-2,29.1558,0.4428,0.2631,0.0833,0.7143,5.871E-1,34.3424,0.4705,0.2325,0.2500,0.7143,5.105E-1,26.9467,0.4204,0.2788,0.0417,0.7143,6.24E-1,14.4732,0.3094,0.3899,0.0417,0.4286,2.704E-1,11.3890,0.2803,0.4266,0.0000,0.1429,2.675E-2,4.4484,0.1702,0.5455,0.0000,0.1429,9.816E-2,5.8774,0.1997,0.5131,0.0000,0.1429,7.157E-2
pinpal_1,24,0.6370,1.1360,560,0.9058,7,0.1178,0.6904,0.0703,1144,14.8462,3.9773,20.8542,21.3740,26.9325,6.5909,5.4249,32.1691,15.5066,5.5716,2.0575,12.6610,24.8497,7.1845,0.5683,0.6153,0.6201,0.5934,0.5669,0.5498,0.5885,0.1142,0.1380,0.2668,0.2569,0.2986,0.0246,0.0246,0.0361,0.0709,0.2401,0.1011,-0.0387,0.3591,0.2556,0.0484,0.2419,-0.0753,0.1825,0.4157,-0.1610,-0.0354,0.6432,0.6779,0.7138,0.6703,0.6489,0.7137,0.7059,0.5182,0.6894,0.5533,0.6572,0.7903,0.3698,0.4565,6.4060,0.2611,1.0000,0.0754,0.7168,0.0000,0.0000,9.721E-2,5.0000,0.1691,0.5647,0.0000,0.1429,1.171E-1,10.0000,0.2431,0.4624,0.0000,0.1429,4.131E-2,13.6582,0.2952,0.4100,0.0000,0.1429,2.156E-2,38.4487,0.4772,0.2124,0.0833,0.7143,4.572E-1,46.8570,0.5168,0.1687,0.1667,0.8571,7.257E-1,38.4487,0.4772,0.2124,0.0833,0.7143,4.572E-1,21.7355,0.3870,0.3269,0.0833,0.2857,4.168E-2,14.2902,0.3009,0.4021,0.0417,0.1429,1.939E-2,5.3627,0.1757,0.5559,0.0000,0.1429,1.082E-1,6.5325,0.1964,0.5288,0.0000,0.1429,8.372E-2
pinpal_2,24,0.6522,1.1057,640,0.9033,7,0.2262,0.7089,0.0674,1144,17.1907,5.2897,4.8694,24.1569,38.8300,4.4538,5.2095,34.9562,11.1802,7.1022,3.5970,18.8614,16.3858,7.9172,0.5770,0.6368,0.6366,0.5704,0.5465,0.5806,0.5947,0.1104,0.1628,0.1968,0.2667,0.3124,0.0126,0.0228,0.1686,0.1783,0.3277,0.3594,0.1496,0.2017,0.4101,0.0807,0.1606,0.1240,0.1525,0.3804,0.0595,-0.0329,0.6790,0.6980,0.7366,0.7413,0.6932,0.6775,0.7436,0.5480,0.6173,0.6148,0.6336,0.6958,0.5963,0.4565,6.3907,0.2575,1.0000,0.0725,0.7133,0.0000,0.0000,9.394E-2,5.0000,0.1731,0.5603,0.0000,0.1429,1.126E-1,10.0000,0.2465,0.4615,0.0000,0.1429,4.089E-2,18.5900,0.3491,0.3566,0.0000,0.1429,1E-2,37.4492,0.4651,0.2177,0.0833,0.7143,4.713E-1,42.6901,0.4919,0.1879,0.2083,0.7143,3.899E-1,37.4492,0.4651,0.2177,0.0833,0.7143,4.713E-1,24.3814,0.3957,0.3051,0.0417,0.2857,3.097E-2,20.1635,0.3629,0.3418,0.0417,0.1429,7.889E-3,4.9066,0.1722,0.5629,0.0000,0.1429,1.153E-1,6.7332,0.1975,0.5210,0.0000,0.1429,7.746E-2
pinpal_3,24,0.6841,1.0928,280,0.9048,7,0.3445,0.7441,0.0576,1144,21.7886,3.0511,0.6096,17.4112,41.7723,12.0321,3.3350,42.4169,12.2203,0.7421,2.6671,17.5657,20.2027,4.1852,0.5946,0.6698,0.6812,0.6365,0.6046,0.5529,0.6557,0.1473,0.1524,0.2410,0.2156,0.3378,0.0596,0.0221,0.3747,0.2772,0.3435,0.3242,0.2017,0.3818,0.3645,-0.0411,0.1828,0.0728,0.3108,0.2830,-0.0254,-0.0339,0.7448,0.7286,0.7434,0.7509,0.7145,0.7198,0.7487,0.5587,0.6435,0.6088,0.6823,0.5968,0.5153,0.3551,6.3584,0.2504,1.0000,0.0621,0.7177,0.0000,0.0000,9.804E-2,5.0000,0.1612,0.5490,0.0000,0.0000,1.502E-2,10.0000,0.2574,0.4528,0.0000,0.1429,3.691E-2,26.3374,0.4049,0.2937,0.0000,0.4286,1.18E-1,37.1909,0.4485,0.2203,0.0833,0.5714,1.846E-1,43.1401,0.4634,0.1844,0.1667,0.5714,1.223E-1,26.3374,0.4049,0.2937,0.0000,0.4286,1.18E-1,24.2560,0.3942,0.3086,0.0000,0.2857,3.253E-2,16.8615,0.3402,0.3733,0.0000,0.1429,1.287E-2,5.3464,0.1675,0.5402,0.0000,0.0000,1.343E-2,6.9497,0.1974,0.5044,0.0000,0.1429,6.542E-2
pinpal_4,24,0.6199,1.0186,440,0.8961,7,0.2636,0.7295,0.0739,1144,16.9423,3.4212,0.0461,16.4679,50.8222,7.1353,5.1650,34.9310,8.5058,0.7614,0.4621,23.6529,23.6561,8.0307,0.5311,0.6103,0.6198,0.5898,0.4934,0.5241,0.5791,0.0800,0.1295,0.1433,0.2423,0.3476,0.0017,0.0217,0.2966,0.2244,0.2594,0.1855,0.3568,0.4852,0.4036,0.1702,0.2685,0.3855,0.2441,0.2579,0.0179,-0.0171,0.7356,0.7241,0.7281,0.6931,0.7546,0.7524,0.7534,0.7093,0.7125,0.7477,0.6934,0.6920,0.5155,0.4978,6.4204,0.2665,1.0000,0.0908,0.6949,0.0000,0.0000,7.827E-2,5.0000,0.1950,0.5647,0.0000,0.1429,1.171E-1,10.0000,0.2756,0.4781,0.0000,0.1429,4.937E-2,22.7354,0.3838,0.3409,0.0000,0.2857,4.978E-2,35.7010,0.4494,0.2439,0.0833,0.4286,6.505E-2,44.8607,0.4854,0.1888,0.2083,0.5714,1.293E-1,44.5538,0.4847,0.1897,0.1250,0.5714,1.308E-1,29.7949,0.4232,0.2858,0.0417,0.2857,2.332E-2,32.9701,0.4354,0.2631,0.0833,0.2857,1.618E-2,4.2202,0.1761,0.5839,0.0000,0.1429,1.386E-1,6.4114,0.2205,0.5367,0.0000,0.1429,9.035E-2
pinpal_5,24,0.6380,1.1129,360,0.8957,7,0.3975,0.7382,0.0618,1144,19.4673,10.1013,8.0530,18.8101,31.5559,8.6096,3.4029,37.8531,26.4505,0.3931,2.2958,17.4899,11.4547,4.0629,0.5619,0.5778,0.6330,0.6022,0.5481,0.5649,0.6103,0.1285,0.1779,0.2361,0.2207,0.3020,0.1139,0.0347,0.3639,0.5150,0.4528,0.3212,0.2751,0.2852,0.4252,0.0453,0.0933,0.0966,0.2315,0.4041,-0.2779,-0.1098,0.7136,0.7873,0.7502,0.7187,0.7014,0.6729,0.7422,0.5807,0.5752,0.6387,0.6252,0.6794,0.3088,0.3453,6.4042,0.2623,1.0000,0.0672,0.6941,0.0000,0.0000,7.758E-2,5.0000,0.1930,0.5402,0.0000,0.0000,1.343E-2,10.0000,0.2785,0.4572,0.0000,0.1429,3.886E-2,21.8945,0.3905,0.3357,0.0000,0.4286,1.769E-1,35.7738,0.4738,0.2413,0.0833,0.5714,2.257E-1,45.6656,0.5113,0.1888,0.2083,0.7143,3.923E-1,30.2406,0.4451,0.2753,0.0417,0.4286,9.634E-2,20.3280,0.3819,0.3479,0.0000,0.2857,5.422E-2,18.4390,0.3689,0.3645,0.0000,0.1429,1.129E-2,4.5569,0.1743,0.5516,0.0000,0.0000,1.553E-2,5.6201,0.2064,0.5280,0.0000,0.1429,8.301E-2
pinpal_6,24,0.6454,1.1679,560,0.8993,7,0.4441,0.7572,0.0417,1144,17.2302,9.3685,0.0000,23.1207,36.6543,10.3534,3.2729,32.7459,26.3000,0.0000,1.5211,22.2408,14.8426,2.3496,0.5481,0.5901,0.6453,0.5954,0.5094,0.5501,0.6117,0.0963,0.1711,0.1243,0.2427,0.3182,0.0795,0.0333,0.4475,0.5488,0.4407,0.3739,0.4762,0.3219,0.4463,0.0915,0.0506,0.4058,0.1801,0.2409,-0.0921,-0.0989,0.7463,0.7808,0.7564,0.7311,0.7630,0.6974,0.7508,0.5357,0.5559,0.8172,0.6138,0.5851,0.3982,0.3605,6.3957,0.2608,1.0000,0.0816,0.6932,0.0000,0.0000,7.69E-2,5.0000,0.1935,0.5612,0.0000,0.0000,1.753E-2,10.0000,0.2632,0.4729,0.0000,0.0000,5.289E-3,16.3086,0.3198,0.3925,0.0000,0.0000,1.435E-3,35.6445,0.4641,0.2360,0.0833,0.5714,2.151E-1,43.3827,0.4976,0.1932,0.2083,0.7143,4.044E-1,33.9518,0.4510,0.2465,0.0417,0.5714,2.364E-1,26.3927,0.4018,0.2998,0.0417,0.2857,2.872E-2,17.8701,0.3358,0.3759,0.0417,0.0000,1.06E-3,3.8801,0.1728,0.5883,0.0000,0.0000,2.439E-2,6.9314,0.2247,0.5236,0.0000,0.0000,1.079E-2
pinpal_7,24,0.6253,1.0729,300,0.8923,7,0.5276,0.7735,0.0485,1144,15.0441,5.0002,0.0001,27.6745,38.5705,9.8787,3.8318,33.3774,17.1991,0.0000,5.3927,22.7320,15.7138,5.5849,0.5549,0.6076,0.6252,0.5373,0.5328,0.5394,0.5957,0.0800,0.1327,0.1318,0.2743,0.3298,0.0717,0.0226,0.4000,0.4981,0.5266,0.5876,0.4711,0.4172,0.5275,0.1888,0.2494,0.4008,0.1219,0.2503,-0.0416,-0.0146,0.7298,0.7691,0.7729,0.8068,0.7604,0.7255,0.7705,0.6436,0.6902,0.7565,0.5736,0.6465,0.4989,0.4948,6.4167,0.2658,1.0000,0.0721,0.7037,0.0000,0.0000,8.543E-2,5.0000,0.1912,0.5621,0.0000,0.0000,1.772E-2,10.0000,0.2738,0.4747,0.0000,0.0000,5.428E-3,16.8226,0.3355,0.3907,0.0000,0.0000,1.39E-3,33.8287,0.4520,0.2509,0.0833,0.5714,2.454E-1,41.1472,0.4910,0.2080,0.2083,0.5714,1.621E-1,33.1556,0.4508,0.2552,0.0417,0.5714,2.546E-1,28.7732,0.4272,0.2858,0.0417,0.2857,2.332E-2,18.3611,0.3484,0.3741,0.0417,0.0000,1.026E-3,4.1004,0.1753,0.5839,0.0000,0.0000,2.314E-2,6.3720,0.2166,0.5341,0.0000,0.0000,1.24E-2
pinpal_8,24,0.7063,1.1925,460,0.9152,7,0.2498,0.7423,0.0507,1144,21.7506,2.7101,2.3161,18.0328,35.6122,16.0432,3.5350,36.9487,11.8300,1.2872,2.6388,15.5445,28.5298,3.2211,0.5923,0.6894,0.7014,0.6768,0.6076,0.5294,0.6763,0.1423,0.1329,0.2055,0.1973,0.3160,0.0561,0.0241,0.3209,0.1678,0.2676,0.1616,0.1107,0.4452,0.2413,-0.0184,0.2136,0.2071,0.3264,0.3696,-0.0960,-0.0658,0.7540,0.7193,0.7458,0.7197,0.7039,0.7514,0.7440,0.5624,0.6304,0.6787,0.6817,0.6601,0.4055,0.3319,6.3367,0.2453,1.0000,0.0672,0.7308,0.0000,0.0000,1.113E-1,5.0000,0.1546,0.5699,0.0000,0.0000,1.953E-2,10.0000,0.2328,0.4642,0.0000,0.1429,4.215E-2,19.9352,0.3443,0.3453,0.0000,0.1429,8.351E-3,43.5368,0.4516,0.1661,0.0833,0.7143,3.286E-1,45.1637,0.4596,0.1573,0.1667,0.7143,3.04E-1,39.7865,0.4299,0.1897,0.0417,0.7143,3.947E-1,26.7489,0.3777,0.2858,0.0417,0.2857,2.332E-2,23.8489,0.3637,0.3094,0.0417,0.1429,4.516E-3,5.4764,0.1646,0.5577,0.0000,0.0000,1.678E-2,8.4050,0.2001,0.4930,0.0000,0.1429,5.804E-2
pinpal_9,24,0.5720,0.9949,360,0.8841,7,0.7840,0.8668,0.0266,1144,13.3614,5.6349,0.2560,18.4707,47.5586,11.1088,3.6096,35.3533,18.9106,0.1835,0.0131,19.1761,21.9782,4.3852,0.4889,0.5364,0.5711,0.5481,0.4560,0.4678,0.5464,0.0778,0.1222,0.1377,0.1974,0.3150,0.0478,0.0221,0.7107,0.7699,0.7744,0.6636,0.7094,0.7141,0.7536,0.1952,0.2847,0.3839,0.3257,0.3739,0.0129,-0.0137,0.8761,0.8692,0.8637,0.8391,0.8486,0.8493,0.8651,0.6645,0.7315,0.7466,0.6994,0.6871,0.6261,0.4666,6.4700,0.2814,1.0000,0.0897,0.7273,0.0000,0.0000,1.076E-1,5.0000,0.1937,0.5918,0.0000,0.0000,2.542E-2,10.0000,0.2885,0.5035,0.0000,0.0000,8.203E-3,21.0247,0.3704,0.3802,0.0000,0.0000,1.149E-3,35.8290,0.4461,0.2596,0.0833,0.0000,7.949E-5,43.8670,0.4805,0.2080,0.2083,0.2857,5.599E-3,33.6057,0.4393,0.2753,0.0417,0.0000,1.2E-4,43.4381,0.4784,0.2107,0.2083,0.1429,5.014E-4,35.8290,0.4461,0.2596,0.0833,0.0000,7.949E-5,4.5258,0.1835,0.6040,0.0000,0.0000,2.933E-2,6.3259,0.2176,0.5638,0.0000,0.0000,1.811E-2
