Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.83243E-11,0.000000002,0.000000011,0.999125874,0,0
2.00207E-11,0.000000004,0.000000012,0.998251748,0,0
2.14956E-11,0.00000001,0.000000013,0.995629371,0,0
3.71756E-11,0.000000026,0.000000022,0.990384615,0,0
5.48244E-10,0.000000147,0.000000331,0.987762238,0,0
7.10521E-10,0.000000285,0.000000429,0.986013986,0,0
5.43056E-9,0.000001417,0.000003282,0.979895105,0,0
7.81143E-9,0.000002971,0.000004721,0.978146853,0,0
1.04096E-8,0.000010276,0.000006291,0.971153846,0,0
2.32523E-8,0.000025978,0.000014053,0.962412587,0,0
3.65777E-8,0.000053306,0.000022106,0.954545455,0,0
6.49019E-8,0.000100459,0.000039224,0.945804196,0,0
1.85376E-7,0.000257048,0.000112025,0.935314685,0,0
3.06078E-7,0.000509079,0.000184954,0.926573427,0,0
6.29532E-7,0.001054885,0.000380334,0.916958042,0,0
1.39346E-6,0.002524602,0.000841475,0.902972028,0,0
2.23036E-6,0.00505553,0.001346179,0.890734266,0,0
3.39492E-6,0.010016178,0.002047631,0.875874126,0,0
7.92078E-6,0.025862464,0.00476438,0.850524476,0,0
1.3756E-5,0.050458025,0.008245328,0.83041958,0,0
2.61261E-5,0.100492524,0.015544704,0.808566434,0,0
4.19815E-5,0.2066559,0.024745084,0.781468531,0,0
5.78216E-5,0.309787465,0.033766368,0.763111888,0,0
6.90963E-5,0.403838658,0.040086602,0.75,0,0
7.97159E-5,0.506969607,0.045964423,0.737762238,0,0
8.79653E-5,0.608149776,0.050480943,0.727272727,0,0
9.5223E-5,0.700170104,0.054419293,0.718531469,0,0
1.00832E-4,0.758609612,0.057440704,0.713286713,0,0
1.06428E-4,0.800119054,0.060435945,0.70979021,0,0
1.11855E-4,0.90934885,0.063322516,0.701048951,0,0
1.1927E-4,1.002811402,0.067238066,0.694055944,0,0
1.26578E-4,1.102057547,0.071065253,0.687062937,0,0
1.39852E-4,1.209049182,0.077936768,0.68006993,0,0
1.50059E-4,1.311459287,0.083151731,0.673951049,0,0
1.57245E-4,1.403790145,0.086788087,0.668706294,0,0
1.63576E-4,1.517117759,0.089968149,0.662587413,0,0
1.77916E-4,1.756311092,0.097089494,0.65034965,0,0
1.9424E-4,2.016807123,0.105061891,0.638111888,0,0
