Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.48955E-6,0.000548955,0.003530049,1,0,0
1.19846E-5,0.001747412,0.007674612,0.999125874,0,0
1.22173E-5,0.002969139,0.007822455,0.998251748,0,0
1.44692E-5,0.005691388,0.009250984,0.996503497,0,0
1.62472E-5,0.010388519,0.010375981,0.993881119,0,0
1.84031E-5,0.026162329,0.011736634,0.986013986,0,0
2.36281E-5,0.051810704,0.015018811,0.975524476,0,0
3.25412E-5,0.101451668,0.020567793,0.960664336,0,0
3.97663E-5,0.202414084,0.025020163,0.936188811,0,0
4.62655E-5,0.303491066,0.02899078,0.916083916,0,0
5.32825E-5,0.403275214,0.033241636,0.898601399,0,0
5.85111E-5,0.504674044,0.036384908,0.882867133,0,0
6.39416E-5,0.602858504,0.039628032,0.868881119,0,0
7.18733E-5,0.706532801,0.044325841,0.855769231,0,0
7.41471E-5,0.750566639,0.045664111,0.850524476,0,0
7.90868E-5,0.804798445,0.048558555,0.844405594,0,0
8.7047E-5,0.904582931,0.053186076,0.833916084,0,0
9.0738E-5,1.002459443,0.05531659,0.824300699,0,0
9.27884E-5,1.103632808,0.05649596,0.814685315,0,0
9.988E-5,1.21889479,0.060552311,0.804195804,0,0
1.04397E-4,1.301021833,0.063117664,0.797202797,0,0
1.11361E-4,1.408760448,0.067046199,0.788461538,0,0
1.17462E-4,1.501555203,0.070460459,0.781468531,0,0
1.35581E-4,1.754263091,0.080454953,0.763986014,0,0
1.49197E-4,2.009040553,0.087824936,0.748251748,0,0
1.59141E-4,2.27170201,0.093133381,0.733391608,0,0
1.71389E-4,2.502135258,0.099587427,0.721153846,0,0
1.832E-4,2.770294992,0.105724852,0.708041958,0,0
1.95001E-4,3.017619255,0.111773875,0.696678322,0,0
2.01111E-4,3.25492495,0.114873573,0.686188811,0,0
2.11112E-4,3.503736585,0.119901158,0.675699301,0,0
2.2221E-4,3.766245442,0.125413823,0.66520979,0.015625,0
2.31562E-4,4.015484328,0.130005918,0.655594406,0.015625,0
2.35772E-4,4.272467898,0.132057676,0.645979021,0.015625,0
2.45972E-4,4.513331371,0.136987939,0.637237762,0.015625,0
2.60399E-4,4.764311809,0.143866633,0.628496503,0.015625,0
2.68363E-4,5.003199196,0.147617144,0.620629371,0.015625,0
2.78655E-4,5.25074175,0.15241555,0.612762238,0.015625,0
2.84912E-4,5.5049538,0.15530641,0.604895105,0.03125,0
2.92222E-4,5.763916348,0.158658781,0.597027972,0.03125,0
2.9937E-4,6.029216364,0.161911719,0.589160839,0.03125,0
3.03449E-4,6.270387753,0.163756283,0.582167832,0.03125,0
