Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.29822E-10,0.000000033,0.000001586,1,0,0
3.34991E-10,0.000000133,0.000001611,0.999754681,0,0
3.38927E-10,0.000000268,0.000001629,0.99942759,0,0
3.55736E-10,0.000001003,0.00000171,0.997710361,0,0
3.85115E-10,0.000002518,0.000001852,0.994357674,0,0
5.04674E-10,0.000010034,0.000002426,0.980456292,0,0
1.40643E-9,0.000025103,0.000006762,0.965655409,0,0
4.81328E-9,0.000050123,0.00002314,0.958295854,0,0
1.08784E-8,0.00010066,0.000052297,0.952571756,0,0
2.66761E-8,0.000250533,0.000128234,0.945539292,0,0
4.08792E-8,0.000503651,0.000196497,0.939406329,0,0
5.50263E-8,0.001001027,0.00026448,0.930983727,0,0
7.46044E-8,0.002505497,0.000358547,0.912012429,0,0
1.09659E-7,0.005009636,0.000526928,0.889770218,0,0
1.55442E-7,0.010009753,0.00074676,0.85894186,0,0
2.72147E-7,0.025022323,0.001306693,0.800310737,0.000445633,0
4.66692E-7,0.05003867,0.002238691,0.744705209,0.000445633,0
8.06227E-7,0.100015949,0.003861131,0.678550985,0.000445633,0
1.81907E-6,0.200034412,0.008669721,0.608635211,0.000445633,0.001336898
3.12991E-6,0.30006855,0.014824592,0.575026576,0.001782531,0.002673797
4.79919E-6,0.4004627,0.022552701,0.553765639,0.002228164,0.004010695
6.32423E-6,0.500114439,0.029507814,0.538882983,0.002228164,0.004010695
8.27636E-6,0.600175601,0.038267572,0.527680105,0.00311943,0.004010695
1.05631E-5,0.701050959,0.048329625,0.518848638,0.003565062,0.004010695
1.18216E-5,0.750474854,0.053778125,0.515250634,0.004010695,0.006684492
1.3205E-5,0.80018813,0.059696018,0.51197972,0.004010695,0.006684492
1.53003E-5,0.90068807,0.068518967,0.506255622,0.006238859,0.006684492
1.73795E-5,1.000689381,0.077112361,0.501267479,0.006238859,0.006684492
1.95833E-5,1.10059666,0.086049073,0.496851746,0.006238859,0.00802139
2.09786E-5,1.200248505,0.091618289,0.492844877,0.006238859,0.00802139
2.24056E-5,1.302153499,0.097244499,0.489001554,0.006684492,0.00802139
2.37594E-5,1.401296006,0.102517672,0.485485322,0.006684492,0.00802139
2.47485E-5,1.501082914,0.10633175,0.482132636,0.006684492,0.00802139
2.73931E-5,1.750759287,0.116371945,0.474282443,0.007575758,0.009358289
2.95064E-5,2.00111144,0.124234513,0.467086434,0.00802139,0.012032086
3.18224E-5,2.251926582,0.132691842,0.460381061,0.008467023,0.012032086
3.4259E-5,2.50226419,0.141415134,0.454166326,0.010695187,0.013368984
3.69505E-5,2.752471849,0.15084911,0.448442227,0.012032086,0.014705882
3.86404E-5,3.001895199,0.15666729,0.44304522,0.01426025,0.016042781
3.99065E-5,3.253593652,0.160974313,0.437811759,0.017825312,0.017379679
4.1161E-5,3.500937244,0.165198511,0.432823616,0.01916221,0.020053476
4.24224E-5,3.75207145,0.169403597,0.427917246,0.022727273,0.021390374
