Predictor variable,Categorical,Sample average
alt,false,45.06639928698752
bio01,false,199.82709447415328
bio02,false,119.00802139037434
bio03,false,42.386809269162214
bio04,false,5871.466577540107
bio05,false,330.58422459893046
bio06,false,51.60739750445633
bio07,false,278.9768270944742
bio08,false,245.54188948306594
bio09,false,168.4318181818182
bio10,false,270.822192513369
bio11,false,121.00757575757575
bio12,false,1323.4295900178254
bio13,false,171.51470588235293
bio14,false,63.89527629233512
bio15,false,31.99554367201426
bio16,false,473.9812834224599
bio17,false,228.04723707664886
bio18,false,443.3850267379679
bio19,false,284.219696969697
