X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-83.49678,31.48087,train,1.4009586419521167E-4,28.929164489415513,0.42308747195513036
-83.5303,31.4741,train,1.4009586419521167E-4,28.929164489415513,0.42308747195513036
-82.60937,28.88365,train,2.938085707341113E-4,56.01759817022507,0.6059906203562173
-82.62605,28.89789,train,2.7213234169572165E-4,48.21637183967043,0.5875508465495252
-84.85284,30.69676,train,1.4020320842569875E-4,29.018581012319796,0.42327443370417
-85.02709,30.11576,train,2.535851000088118E-4,44.87413736479335,0.5703454765191729
-81.78013,29.35541,train,3.403526599312237E-4,78.86308334401414,0.6405020098027524
-82.27824,27.50499,train,3.108655407955257E-4,66.6474387402206,0.6193810268776307
-81.05291,28.70754,train,3.5024759499171744E-4,83.90498359322986,0.6470738669377158
-82.81236,27.83384,train,2.9440509886352855E-4,56.48455393511656,0.6064747982084866
-82.73645,28.13918,train,2.763461385034114E-4,49.64485229074266,0.5912694170696956
-82.77438,28.11398,train,2.748927216439031E-4,49.17880423660132,0.5899944117835417
-86.7288,30.41572,train,3.832957654820759E-4,93.64156410361414,0.6673820823531635
-86.70051,30.41701,train,3.832957654820759E-4,93.64156410361414,0.6673820823531635
-86.67482,30.42334,train,3.832957654820759E-4,93.64156410361414,0.6673820823531635
-86.71281,30.4281,train,3.785633340779763E-4,91.81800184288103,0.6646185542749811
-81.9719,30.09174,train,3.4748124581674935E-4,82.46380637763562,0.6452608795601495
-81.97417,30.11088,train,3.4199664755904063E-4,79.68758451382259,0.6416107883651383
-81.45041,28.51585,train,2.9374977746194394E-4,55.97669986865911,0.6059428357181302
-82.35768,29.65862,train,3.4825478682866704E-4,83.09835876955532,0.6457697099070149
-81.29527,29.71843,train,3.8529224429374937E-4,94.63098157172259,0.6685343245851492
-81.65117,30.55717,train,3.254641855691035E-4,73.06411514849101,0.6301391429815619
-82.70933,28.04899,train,2.96831257481232E-4,57.90773749364102,0.6084318126153774
-81.96561,30.1184,train,3.3930214878461217E-4,78.44571196182196,0.6397898984648435
-81.51427,30.47006,train,3.4670302530764597E-4,82.21693082217672,0.644747493835702
-81.79196,29.72822,train,3.6998188733105105E-4,89.38955320583257,0.6594884490388334
-82.58405,28.80074,train,3.0623235071577937E-4,63.479240706633014,0.6158346604161151
-81.27295,29.71544,train,4.01470325646918E-4,98.00454883153019,0.6775848927022095
-82.24843,30.51489,train,1.7232612480523008E-4,37.38037571505182,0.4742603024153343
