Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio01 contribution,bio04 contribution,bio06 contribution,bio07 contribution,bio11 contribution,bio01 permutation importance,bio04 permutation importance,bio06 permutation importance,bio07 permutation importance,bio11 permutation importance,Training gain without bio01,Training gain without bio04,Training gain without bio06,Training gain without bio07,Training gain without bio11,Training gain with only bio01,Training gain with only bio04,Training gain with only bio06,Training gain with only bio07,Training gain with only bio11,Test gain without bio01,Test gain without bio04,Test gain without bio06,Test gain without bio07,Test gain without bio11,Test gain with only bio01,Test gain with only bio04,Test gain with only bio06,Test gain with only bio07,Test gain with only bio11,AUC without bio01,AUC without bio04,AUC without bio06,AUC without bio07,AUC without bio11,AUC with only bio01,AUC with only bio04,AUC with only bio06,AUC with only bio07,AUC with only bio11,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Triadica_sebifera_0,2244,0.8599,0.9156,1160,0.8497,748,0.9031,0.8505,0.0053,12236,10.0599,4.1606,61.9389,23.6967,0.1438,15.4006,12.4461,42.5800,29.1984,0.3749,0.8421,0.8425,0.8563,0.8479,0.8597,0.6971,0.6799,0.7565,0.7079,0.7056,0.8906,0.8869,0.8974,0.8982,0.9022,0.7075,0.7307,0.7720,0.7520,0.7276,0.8481,0.8478,0.8494,0.8499,0.8505,0.8107,0.8185,0.8244,0.8205,0.8175,8.5524,0.2080,1.0000,0.0861,0.5248,0.0067,0.0214,0E0,5.0000,0.1918,0.4298,0.0325,0.0441,0E0,10.0000,0.2775,0.3618,0.0744,0.0922,0E0,0.0213,0.0010,0.8521,0.0000,0.0013,7.149E-30,12.7523,0.3009,0.3333,0.0998,0.1083,0E0,26.4614,0.4101,0.2269,0.2268,0.2126,0E0,14.3821,0.3138,0.3178,0.1078,0.1163,0E0,27.6246,0.4194,0.2199,0.2384,0.2206,0E0,22.3306,0.3775,0.2537,0.1823,0.1751,0E0,0.8068,0.0647,0.5349,0.0045,0.0160,0E0,5.3801,0.2009,0.4233,0.0357,0.0455,0E0
Triadica_sebifera_1,2244,0.8490,0.9053,920,0.8483,748,0.9424,0.8562,0.0050,12232,8.0667,3.3233,62.9215,25.5548,0.1337,15.5065,10.8853,44.9512,28.2097,0.4473,0.8320,0.8330,0.8450,0.8384,0.8489,0.6893,0.6739,0.7479,0.7001,0.6988,0.9308,0.9174,0.9405,0.9329,0.9415,0.7341,0.7584,0.8061,0.7824,0.7547,0.8541,0.8515,0.8555,0.8546,0.8561,0.8112,0.8252,0.8282,0.8236,0.8213,8.5634,0.2103,1.0000,0.0866,0.5376,0.0071,0.0094,0E0,5.0000,0.1861,0.4371,0.0316,0.0267,0E0,10.0000,0.2667,0.3667,0.0780,0.0668,0E0,0.0148,0.0007,0.8663,0.0000,0.0013,1.02E-26,12.3380,0.3011,0.3414,0.0998,0.0802,0E0,26.6566,0.4051,0.2274,0.2273,0.2032,0E0,16.1861,0.3284,0.3058,0.1243,0.1056,0E0,28.1946,0.4211,0.2181,0.2447,0.2179,0E0,16.3265,0.3294,0.3045,0.1270,0.1056,0E0,0.8403,0.0786,0.5452,0.0049,0.0067,0E0,5.5111,0.2007,0.4281,0.0352,0.0294,0E0
Triadica_sebifera_2,2244,0.8544,0.9098,1340,0.8490,748,0.9185,0.8518,0.0052,12234,5.5577,3.6906,68.7331,21.5005,0.5181,13.3119,12.9602,43.6210,28.1726,1.9342,0.8366,0.8373,0.8510,0.8440,0.8542,0.6936,0.6799,0.7528,0.7045,0.7048,0.9066,0.9019,0.9137,0.9090,0.9179,0.7205,0.7284,0.7864,0.7612,0.7316,0.8503,0.8491,0.8505,0.8501,0.8517,0.8111,0.8210,0.8255,0.8223,0.8188,8.5575,0.2091,1.0000,0.0814,0.5374,0.0062,0.0053,0E0,5.0000,0.1843,0.4336,0.0370,0.0374,0E0,10.0000,0.2765,0.3635,0.0780,0.0829,0E0,0.0349,0.0018,0.7831,0.0000,0.0027,3.734E-46,12.7890,0.3034,0.3344,0.0998,0.1070,0E0,26.4372,0.4020,0.2280,0.2282,0.2059,0E0,16.2718,0.3301,0.3025,0.1208,0.1350,0E0,27.6201,0.4110,0.2206,0.2406,0.2206,0E0,22.5491,0.3764,0.2540,0.1903,0.1711,0E0,0.7977,0.0679,0.5481,0.0040,0.0040,0E0,5.4481,0.1927,0.4255,0.0428,0.0374,0E0
Triadica_sebifera_3,2244,0.8491,0.9052,1040,0.8483,748,0.9360,0.8547,0.0049,12234,6.1269,2.6442,65.4847,25.5564,0.1879,14.8035,11.2593,43.8536,29.0478,1.0358,0.8316,0.8337,0.8449,0.8386,0.8486,0.6858,0.6773,0.7495,0.7067,0.6989,0.9238,0.9130,0.9346,0.9243,0.9362,0.7481,0.7352,0.7941,0.7547,0.7489,0.8529,0.8509,0.8543,0.8529,0.8547,0.8160,0.8203,0.8271,0.8201,0.8173,8.5631,0.2101,1.0000,0.0772,0.5412,0.0045,0.0053,0E0,5.0000,0.1892,0.4374,0.0348,0.0307,0E0,10.0000,0.2746,0.3672,0.0793,0.0695,0E0,0.0120,0.0007,0.8858,0.0000,0.0000,4.635E-23,12.7073,0.2983,0.3385,0.0998,0.0842,0E0,26.4230,0.4063,0.2281,0.2282,0.2086,0E0,20.0988,0.3524,0.2726,0.1600,0.1337,0E0,27.6630,0.4150,0.2205,0.2406,0.2206,0E0,20.0243,0.3524,0.2733,0.1600,0.1324,0E0,1.2302,0.0858,0.5301,0.0058,0.0094,0E0,5.5392,0.2008,0.4278,0.0370,0.0334,0E0
Triadica_sebifera_4,2244,0.8629,0.9214,1260,0.8509,748,0.8675,0.8413,0.0052,12234,5.6783,4.0438,62.8506,27.1061,0.3211,12.9011,12.7080,38.9659,32.6963,2.7287,0.8466,0.8436,0.8589,0.8503,0.8624,0.6915,0.6872,0.7569,0.7191,0.7046,0.8506,0.8560,0.8659,0.8675,0.8671,0.7205,0.6957,0.7576,0.6942,0.7217,0.8383,0.8391,0.8403,0.8419,0.8414,0.8077,0.8124,0.8156,0.8110,0.8115,8.5502,0.2073,1.0000,0.0785,0.5387,0.0067,0.0067,0E0,5.0000,0.1806,0.4336,0.0357,0.0361,0E0,10.0000,0.2663,0.3615,0.0771,0.0816,0E0,0.0136,0.0007,0.8799,0.0000,0.0000,2.676E-24,12.7736,0.2970,0.3316,0.0998,0.1123,0E0,26.1627,0.4114,0.2246,0.2246,0.2567,0E0,18.4887,0.3372,0.2799,0.1426,0.1711,0E0,24.4364,0.3953,0.2354,0.2041,0.2353,0E0,10.2094,0.2690,0.3590,0.0784,0.0816,0E0,1.0803,0.0865,0.5350,0.0067,0.0094,0E0,5.6141,0.1911,0.4223,0.0383,0.0414,0E0
Triadica_sebifera_5,2244,0.8515,0.9101,1040,0.8490,748,0.9259,0.8521,0.0051,12236,6.0442,3.8220,67.3957,22.5686,0.1695,14.4483,13.0209,35.5734,34.8833,2.0741,0.8353,0.8339,0.8486,0.8398,0.8512,0.6886,0.6776,0.7487,0.7054,0.7001,0.9094,0.9080,0.9188,0.9239,0.9271,0.7384,0.7379,0.7983,0.7534,0.7453,0.8494,0.8482,0.8504,0.8523,0.8523,0.8171,0.8209,0.8259,0.8184,0.8194,8.5614,0.2096,1.0000,0.0763,0.5403,0.0067,0.0080,0E0,5.0000,0.1832,0.4343,0.0321,0.0388,0E0,10.0000,0.2731,0.3634,0.0784,0.0802,0E0,0.0148,0.0008,0.8824,0.0000,0.0000,8.903E-24,12.9109,0.3096,0.3332,0.0998,0.0963,0E0,26.6631,0.4116,0.2262,0.2264,0.2193,0E0,14.6364,0.3202,0.3172,0.1114,0.1136,0E0,27.1089,0.4160,0.2234,0.2313,0.2233,0E0,18.4971,0.3468,0.2842,0.1520,0.1417,0E0,1.2353,0.0950,0.5296,0.0071,0.0080,0E0,5.3847,0.1891,0.4271,0.0383,0.0455,0E0
Triadica_sebifera_6,2244,0.8491,0.9057,1040,0.8486,748,0.9310,0.8528,0.0050,12233,6.1516,2.8970,64.2817,26.5985,0.0711,13.3130,13.0407,37.4523,33.8892,2.3048,0.8319,0.8316,0.8460,0.8380,0.8491,0.6871,0.6743,0.7470,0.7053,0.6982,0.9187,0.9133,0.9267,0.9253,0.9311,0.7431,0.7475,0.8008,0.7556,0.7486,0.8503,0.8490,0.8516,0.8521,0.8525,0.8167,0.8211,0.8253,0.8210,0.8179,8.5633,0.2099,1.0000,0.0685,0.5484,0.0071,0.0013,0E0,5.0000,0.1784,0.4378,0.0312,0.0307,0E0,10.0000,0.2713,0.3656,0.0775,0.0762,0E0,0.0114,0.0007,0.8863,0.0000,0.0000,5.842E-23,12.7733,0.2977,0.3359,0.0998,0.0963,0E0,26.2849,0.4065,0.2272,0.2273,0.2273,0E0,18.5660,0.3413,0.2827,0.1444,0.1390,0E0,26.2719,0.4065,0.2273,0.2268,0.2273,0E0,19.0043,0.3439,0.2791,0.1488,0.1390,0E0,1.1784,0.0820,0.5388,0.0076,0.0027,0E0,5.5125,0.1911,0.4280,0.0357,0.0334,0E0
Triadica_sebifera_7,2244,0.8585,0.9150,960,0.8498,748,0.8978,0.8477,0.0052,12234,5.8420,3.9909,67.1731,22.7702,0.2237,11.9496,11.2696,46.6800,28.1172,1.9837,0.8418,0.8421,0.8545,0.8466,0.8583,0.6964,0.6854,0.7545,0.7109,0.7071,0.8816,0.8763,0.8912,0.8956,0.8972,0.7060,0.7010,0.7752,0.7290,0.7165,0.8447,0.8429,0.8462,0.8477,0.8477,0.8065,0.8153,0.8214,0.8168,0.8126,8.5544,0.2081,1.0000,0.0738,0.5385,0.0067,0.0134,0E0,5.0000,0.1818,0.4340,0.0325,0.0307,0E0,10.0000,0.2641,0.3618,0.0780,0.0856,0E0,0.0323,0.0020,0.8117,0.0000,0.0013,2.129E-39,12.9837,0.3066,0.3303,0.0998,0.1176,0E0,26.3101,0.4127,0.2247,0.2246,0.2366,0E0,18.8889,0.3424,0.2783,0.1493,0.1751,0E0,25.4579,0.4040,0.2299,0.2143,0.2299,0E0,15.9855,0.3257,0.3028,0.1301,0.1364,0E0,1.1200,0.0817,0.5325,0.0067,0.0134,0E0,5.5363,0.1932,0.4241,0.0379,0.0334,0E0
Triadica_sebifera_8,2244,0.8516,0.9083,1140,0.8489,748,0.9356,0.8548,0.0051,12235,6.0958,4.3356,68.0797,21.4034,0.0855,16.6157,11.0187,45.0695,26.7257,0.5704,0.8333,0.8347,0.8480,0.8409,0.8513,0.6933,0.6787,0.7507,0.7068,0.7014,0.9261,0.9132,0.9300,0.9258,0.9343,0.7176,0.7345,0.7859,0.7521,0.7375,0.8525,0.8498,0.8535,0.8531,0.8546,0.8101,0.8192,0.8241,0.8199,0.8160,8.5598,0.2092,1.0000,0.0790,0.5415,0.0071,0.0053,0E0,5.0000,0.1842,0.4383,0.0343,0.0281,0E0,10.0000,0.2562,0.3627,0.0744,0.0856,0E0,0.0109,0.0006,0.8884,0.0000,0.0000,1.572E-22,13.3517,0.3110,0.3265,0.0998,0.1243,0E0,26.1960,0.4052,0.2266,0.2268,0.2246,0E0,15.3449,0.3258,0.3084,0.1163,0.1364,0E0,26.3664,0.4071,0.2256,0.2268,0.2259,0E0,23.0974,0.3785,0.2471,0.1930,0.1858,0E0,1.3315,0.0982,0.5271,0.0080,0.0067,0E0,5.6445,0.1920,0.4264,0.0388,0.0361,0E0
Triadica_sebifera_9,2244,0.8511,0.9060,1020,0.8480,748,0.9328,0.8544,0.0051,12234,5.9777,3.1477,67.2456,23.0741,0.5550,13.1233,11.3559,49.3097,25.8113,0.3997,0.8340,0.8363,0.8469,0.8406,0.8508,0.6907,0.6776,0.7537,0.7062,0.7023,0.9212,0.9077,0.9308,0.9220,0.9316,0.7269,0.7313,0.7777,0.7562,0.7347,0.8534,0.8501,0.8533,0.8532,0.8544,0.8072,0.8197,0.8197,0.8223,0.8157,8.5601,0.2096,1.0000,0.0835,0.5360,0.0049,0.0067,0E0,5.0000,0.1852,0.4349,0.0325,0.0307,0E0,10.0000,0.2754,0.3659,0.0816,0.0709,0E0,0.0185,0.0009,0.8649,0.0000,0.0013,4.927E-27,12.5260,0.3020,0.3395,0.0998,0.0856,0E0,26.5184,0.3984,0.2271,0.2273,0.2166,0E0,19.1186,0.3467,0.2810,0.1497,0.1364,0E0,27.2897,0.4077,0.2222,0.2340,0.2219,0E0,18.0197,0.3396,0.2900,0.1435,0.1243,0E0,0.9440,0.0794,0.5387,0.0040,0.0067,0E0,5.4600,0.1966,0.4266,0.0357,0.0334,0E0
